identifier,الفني_الفريق_الجهاز_النادي_الكرة_اللاعبين_الأهلي,مصر_المصرية_الخارجية_المصري_العربية_الأمريكية_الدول,الانتخابات_حزب_الإخوان_اللجنة_المرشحين_الانتخابية_الحزب,سيناء_الغاز_الشركة_ألف_شركة_القاهرة_المياه,المجلس_الشعب_مجلس_اللجنة_القانون_الدستور_البرلمان,الله_لي_كنت_يا_أنا_ولكن_مبارك,المحكمة_المستشار_العام_النيابة_العامة_القضية_التحقيقات,الأزهر_الإسلامية_الله_الكنيسة_المسلمين_البابا_مصر,المباراة_الفريق_الزمالك_الفوز_أحمد_الشوط_مباراة,مصر_الثورة_ولكن_ليس_لأن_مثل_يجب,جنيه_العمل_العام_المالية_مصر_دولار_الحكومة,الشرطة_المسلحة_الثورة_القوات_المتظاهرين_الأمن_يناير,مدرسة_الصحة_التعليم_ش_حالة_جامعة_الجامعة,عبد_أحمد_محمود_حسن_الدين_فئات_إبراهيم,مدير_اللواء_الأمن_النيابة_الشرطة_أمن_وتم
AH20101208$1,8.46381718154888e-05,8.46381718154888e-05,0.148201438848921,0.105882352941176,8.46381718154888e-05,0.101650444350402,0.0170122725349132,8.46381718154888e-05,0.0677951756242065,0.292086330935252,0.152433347439695,8.46381718154888e-05,8.46381718154888e-05,0.114346170122725,8.46381718154888e-05
AH20101222$2,0.000223964165733483,0.000223964165733483,0.000223964165733483,0.000223964165733483,0.0786114221724524,0.000223964165733483,0.190593505039194,0.302575587905935,0.000223964165733483,0.123404255319149,0.000223964165733483,0.0114221724524076,0.000223964165733483,0.291377379619261,0.000223964165733483
AH20101201$3,0.00066006600660066,0.00066006600660066,0.495709570957096,0.00066006600660066,0.495709570957096,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.00066006600660066,0.00066006600660066
AH20101214$4,0.000262123197903014,0.000262123197903014,0.000262123197903014,0.000262123197903014,0.367234600262123,0.000262123197903014,0.000262123197903014,0.000262123197903014,0.000262123197903014,0.183748361730013,0.000262123197903014,0.196854521625164,0.13132372214941,0.11821756225426,0.000262123197903014
AH20101223$5,1.48115233651781e-05,1.48115233651781e-05,0.251070132563134,0.0725912760127379,0.0333407390950159,0.0385247722728283,1.48115233651781e-05,1.48115233651781e-05,1.48115233651781e-05,0.332533511071614,0.269584536769607,1.48115233651781e-05,1.48115233651781e-05,1.48115233651781e-05,0.00223654002814189
AH20101224$6,0.0121510253625503,0.00384590813262633,0.501514086756532,1.27771034306523e-05,0.00192934261802849,0.0364275218807896,1.27771034306523e-05,0.00129048744649588,0.0325943908515939,0.274720500862454,0.015984156391746,1.27771034306523e-05,0.00767903916182201,0.111812432121638,1.27771034306523e-05
AH20101226$7,2.60654242147791e-05,2.60654242147791e-05,0.0300013032712107,0.0925583213866806,0.0951648638081585,2.60654242147791e-05,0.0117555063208654,2.60654242147791e-05,2.60654242147791e-05,0.175967678873974,0.559129414831226,2.60654242147791e-05,2.60654242147791e-05,0.0352143881141666,2.60654242147791e-05
AH20101230$8,2.24643378636415e-05,2.24643378636415e-05,0.268471301808379,2.24643378636415e-05,0.189846119285634,0.020240368415141,0.0382118387060541,2.24643378636415e-05,2.24643378636415e-05,0.401010895203864,0.082017297540155,2.24643378636415e-05,2.24643378636415e-05,2.24643378636415e-05,2.24643378636415e-05
AH20101203$9,0.000197433366238894,0.553010858835143,0.000197433366238894,0.000197433366238894,0.000197433366238894,0.000197433366238894,0.000197433366238894,0.000197433366238894,0.000197433366238894,0.12852912142152,0.000197433366238894,0.197630799605133,0.000197433366238894,0.000197433366238894,0.118657453109576
AH20101204$10,0.000154679040989946,0.703944315545244,0.000154679040989946,0.000154679040989946,0.000154679040989946,0.0156225831399845,0.000154679040989946,0.000154679040989946,0.000154679040989946,0.0774941995359629,0.000154679040989946,0.116163959783449,0.000154679040989946,0.0697602474864656,0.0156225831399845
