identifier,مصر_الثورة_النظام_أى_هى_الدولة_الآن,الشرطة_الأمن_الثورة_التحرير_المتظاهرين_ميدان_مبارك,المجلس_مجلس_وزير_وزارة_أمس_الوزراء_المصرى,المحافظة_وفى_المحافظ_بالمحافظة_مدينة_جنيه_سيناء,مصر_هل_الآن_الناس_الله_ولكن_أحد,AY_العام_النيابة_الدولة_وزير_المستشار_مبارك,الفريق_النادى_الفنى_الكرة_الأول_الأهلى_المباراة,جنيه_مصر_الشركة_شركة_المالية_الشركات_ألف,يا_اللى_أنا_مش_ده_إيه_لى,المسلمين_مصر_الإسلامية_الأقباط_الله_الكنيسة_الإسلام,مدير_النيابة_اللواء_المتهم_الأمن_التحقيقات_القبض,الحزب_الانتخابات_الشعب_الوطنى_مجلس_الإخوان_المجلس,مصر_الأمريكية_المتحدة_العربية_إسرائيل_المصرية_الدول,القذافى_أمس_ليبيا_تونس_الرئيس_وفى_البلاد,الفيلم_فيلم_المصرى_وفى_مصر_العام_السينما
AY040488,0.111839166046165,0.0820551005212212,0.000148920327624721,0.000148920327624721,0.000148920327624721,0.052271034996277,0.000148920327624721,0.000148920327624721,0.000148920327624721,0.000148920327624721,0.000148920327624721,0.000148920327624721,0.618168279970216,0.000148920327624721,0.134177215189873
AY040489,0.0444937176644494,0.000147819660014782,0.000147819660014782,0.391869918699187,0.000147819660014782,0.000147819660014782,0.000147819660014782,0.0518847006651885,0.184922394678492,0.000147819660014782,0.214486326681449,0.000147819660014782,0.111012564671101,0.000147819660014782,0.000147819660014782
AY040490,0.000137646249139711,0.206607019958706,0.000137646249139711,0.179077770130764,0.041431520991053,0.000137646249139711,0.000137646249139711,0.000137646249139711,0.000137646249139711,0.000137646249139711,0.000137646249139711,0.57136958017894,0.000137646249139711,0.000137646249139711,0.000137646249139711
AY040491,0.000121728545343883,0.000121728545343883,0.000121728545343883,0.000121728545343883,0.000121728545343883,0.0548995739500913,0.919172245891662,0.000121728545343883,0.0183810103469264,0.000121728545343883,0.000121728545343883,0.000121728545343883,0.000121728545343883,0.000121728545343883,0.00620815581253804
AY040492,0.152365566582045,4.61573967228248e-05,4.61573967228248e-05,4.61573967228248e-05,0.443157165935841,4.61573967228248e-05,0.136210477729056,4.61573967228248e-05,0.0346642049388414,4.61573967228248e-05,4.61573967228248e-05,4.61573967228248e-05,0.186983614124163,4.61573967228248e-05,0.0462035541195477
AY040493,0.0798403952118564,3.8001140034201e-05,3.8001140034201e-05,3.8001140034201e-05,0.0950408512255368,3.8001140034201e-05,0.805662169865096,3.8001140034201e-05,0.0190385711571347,3.8001140034201e-05,3.8001140034201e-05,3.8001140034201e-05,3.8001140034201e-05,3.8001140034201e-05,3.8001140034201e-05
AY040494,0.0528458349038824,7.53863550697324e-05,7.53863550697324e-05,7.53863550697324e-05,7.53863550697324e-05,7.53863550697324e-05,0.859479834150019,7.53863550697324e-05,7.53863550697324e-05,7.53863550697324e-05,7.53863550697324e-05,7.53863550697324e-05,0.086769694685262,7.53863550697324e-05,7.53863550697324e-05
AY040495,9.98502246630055e-05,9.98502246630055e-05,0.159860209685472,9.98502246630055e-05,0.0300549176235646,9.98502246630055e-05,0.773939091362956,0.0200698951572641,9.98502246630055e-05,9.98502246630055e-05,9.98502246630055e-05,9.98502246630055e-05,9.98502246630055e-05,0.0150773839241138,9.98502246630055e-05
AY040496,8.6095566078347e-05,8.6095566078347e-05,8.6095566078347e-05,8.6095566078347e-05,8.6095566078347e-05,8.6095566078347e-05,0.852432199741713,8.6095566078347e-05,8.6095566078347e-05,8.6095566078347e-05,8.6095566078347e-05,8.6095566078347e-05,0.112010331467929,8.6095566078347e-05,0.0345243219974171
AY040497,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.902018842530283,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.000269179004037685,0.0137281292059219,0.0810228802153432
AY040498,0.000154679040989946,0.000154679040989946,0.000154679040989946,0.000154679040989946,0.0465583913379737,0.17030162412993,0.642072699149265,0.000154679040989946,0.000154679040989946,0.000154679040989946,0.000154679040989946,0.108430007733952,0.0156225831399845,0.000154679040989946,0.0156225831399845
AY040499,0.121667390360399,8.68432479374729e-05,8.68432479374729e-05,8.68432479374729e-05,8.68432479374729e-05,8.68432479374729e-05,0.877203647416413,8.68432479374729e-05,8.68432479374729e-05,8.68432479374729e-05,8.68432479374729e-05,8.68432479374729e-05,8.68432479374729e-05,8.68432479374729e-05,8.68432479374729e-05
AY040500,0.242212592403773,5.09813917919959e-05,0.15299515676778,5.09813917919959e-05,0.0867193474381851,5.09813917919959e-05,5.09813917919959e-05,5.09813917919959e-05,5.09813917919959e-05,0.15044608717818,5.09813917919959e-05,0.0510323731837879,5.09813917919959e-05,0.00514912057099159,0.311037471322967
AY040501,0.173499826569546,6.93721817551162e-05,0.0278182448838016,6.93721817551162e-05,0.537703780783906,6.93721817551162e-05,0.114533472077697,6.93721817551162e-05,0.0243496357960458,6.93721817551162e-05,6.93721817551162e-05,6.93721817551162e-05,0.121470690253208,6.93721817551162e-05,6.93721817551162e-05
AY040502,4.21674045962471e-05,4.21674045962471e-05,0.0021505376344086,4.21674045962471e-05,0.392199030149694,0.0232342399325322,4.21674045962471e-05,0.0654016445287793,0.516592873708623,4.21674045962471e-05,4.21674045962471e-05,4.21674045962471e-05,4.21674045962471e-05,4.21674045962471e-05,4.21674045962471e-05
AY040503,0.121113127646703,0.000120992135511192,0.0666666666666667,0.000120992135511192,0.193708408953418,0.000120992135511192,0.000120992135511192,0.000120992135511192,0.01826981246219,0.000120992135511192,0.000120992135511192,0.320750151240169,0.000120992135511192,0.000120992135511192,0.278402903811252
AY040504,0.134716769489624,0.000112170499158721,0.0449803701626472,0.000112170499158721,0.331015143017386,0.000112170499158721,0.000112170499158721,0.000112170499158721,0.000112170499158721,0.000112170499158721,0.000112170499158721,0.488053841839596,0.000112170499158721,0.000112170499158721,0.000112170499158721
AY040505,8.7989441267048e-05,8.7989441267048e-05,0.088077430708315,0.39164100307963,0.0616805983282006,0.132072151341839,8.7989441267048e-05,0.022085349758029,0.132072151341839,8.7989441267048e-05,0.0792784865816102,8.7989441267048e-05,8.7989441267048e-05,8.7989441267048e-05,0.0924769027716674
AY040506,0.000148920327624721,0.000148920327624721,0.000148920327624721,0.000148920327624721,0.230975428145942,0.000148920327624721,0.000148920327624721,0.000148920327624721,0.655398361876396,0.000148920327624721,0.000148920327624721,0.111839166046165,0.000148920327624721,0.000148920327624721,0.000148920327624721
AY040507,0.233211944646759,0.000145666423889294,0.000145666423889294,0.000145666423889294,0.451711580480699,0.000145666423889294,0.000145666423889294,0.000145666423889294,0.000145666423889294,0.000145666423889294,0.00742898761835397,0.306045156591406,0.000145666423889294,0.000145666423889294,0.000145666423889294
AY040508,0.000292825768667643,0.000292825768667643,0.000292825768667643,0.000292825768667643,0.307759882869693,0.000292825768667643,0.000292825768667643,0.000292825768667643,0.468814055636896,0.000292825768667643,0.102781844802343,0.117423133235725,0.000292825768667643,0.000292825768667643,0.000292825768667643
AY040509,0.118113612004287,0.000214362272240086,0.000214362272240086,0.0216505894962487,0.67545551982851,0.000214362272240086,0.000214362272240086,0.000214362272240086,0.000214362272240086,0.0859592711682744,0.000214362272240086,0.0966773847802787,0.000214362272240086,0.000214362272240086,0.000214362272240086
AY040510,0.190845518118245,0.000127145581691036,0.000127145581691036,0.000127145581691036,0.527781309599491,0.000127145581691036,0.000127145581691036,0.000127145581691036,0.000127145581691036,0.000127145581691036,0.000127145581691036,0.279847425301971,0.000127145581691036,0.000127145581691036,0.000127145581691036
AY040511,0.00801256873527101,0.000157109190887667,0.282953652788688,0.110133542812255,0.204399057344855,0.000157109190887667,0.000157109190887667,0.000157109190887667,0.000157109190887667,0.031578947368421,0.0551453260015711,0.149410840534171,0.000157109190887667,0.000157109190887667,0.157266300078555
