identifier,الجنوبي_الاستراتيجية_الطاقة_البيئة_الوطنية_العالم_المياه,لبنان_المحكمة_اللبناني_الدولية_اللبنانية_الرئيس_مجلس,السودان_الرئيس_الانتخابات_العاج_المصري_غباغبو_ساحل,العمل_الأدوية_الله_ابن_بطوطة_الرواية_المنشطة,قطر_شركة_الغاز_دولة_الشركة_الشركات_القطرية,قطر_العربية_عبد_العربي_العام_الدوحة_العامة,الفريق_المباراة_فريق_الغرافة_مباراة_النادي_الأول,آل_الشيخ_حمد_ثاني_خليفة_السمو_المفدى,الأميركية_الحرب_طالبان_باردو_الاستراتيجية_أفغانستان_العسكرية,قطر_العالم_كأس_الشيخ_دولة_حمد_القدم,الفلسطينية_إسرائيل_العربية_المتحدة_السلام_الفلسطيني_الدول,ولكن_بل_ليس_إلا_أكثر_وهذا_الآن,ريال_بنسبة_العام_قطر_البنوك_دولار_المالية,المتحدة_الولايات_النووي_السلام_اسرائيل_هل_الأميركية,الأميركية_العراق_القوات_الأميركي_الجيش_المتحدة_العراقي
AL20101201$1,8.08734330772341e-05,0.0405175899716943,0.0324302466639709,8.08734330772341e-05,8.08734330772341e-05,8.08734330772341e-05,0.0162555600485241,8.08734330772341e-05,0.0364739183178326,8.08734330772341e-05,0.109260008087343,0.283137889203397,8.08734330772341e-05,8.08734330772341e-05,0.48127780024262
AL20101202$2,7.99041150619257e-05,7.99041150619257e-05,7.99041150619257e-05,7.99041150619257e-05,0.22780663204155,0.255773072313224,7.99041150619257e-05,7.99041150619257e-05,7.99041150619257e-05,7.99041150619257e-05,0.099960047942469,0.415581302437076,7.99041150619257e-05,7.99041150619257e-05,7.99041150619257e-05
AL20101203$3,7.99041150619257e-05,7.99041150619257e-05,7.99041150619257e-05,7.99041150619257e-05,0.203835397522972,0.271753895325609,7.99041150619257e-05,7.99041150619257e-05,7.99041150619257e-05,7.99041150619257e-05,0.0839792249300839,0.439552536955653,7.99041150619257e-05,7.99041150619257e-05,7.99041150619257e-05
AL20101204$4,7.99041150619257e-05,7.99041150619257e-05,7.99041150619257e-05,7.99041150619257e-05,0.203835397522972,0.291729924091091,7.99041150619257e-05,7.99041150619257e-05,7.99041150619257e-05,7.99041150619257e-05,0.0679984019176988,0.435557331202557,7.99041150619257e-05,7.99041150619257e-05,7.99041150619257e-05
AL20101205$5,8.12017864393017e-05,8.12017864393017e-05,0.00414129110840438,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,0.29646772228989,8.12017864393017e-05,8.12017864393017e-05,0.698416565164434
AL20101206$6,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,0.300527811611855,8.12017864393017e-05,8.12017864393017e-05,0.698416565164434
AL20101207$7,0.00414129110840438,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,8.12017864393017e-05,0.284287454323995,8.12017864393017e-05,8.12017864393017e-05,0.710596833130329
AL20101208$8,7.10984713828653e-05,7.10984713828653e-05,0.13871311766797,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,0.0214006398862424,7.10984713828653e-05,0.117383576253111,0.721720583007465
AL20101209$9,7.10984713828653e-05,7.10984713828653e-05,0.152932811944543,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,0.135158194098827,0.711055812300036
AL20101210$10,7.10984713828653e-05,7.10984713828653e-05,0.1493778883754,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,7.10984713828653e-05,0.142268041237113,0.707500888730892
