term,حالة_قانون_أمن_الدولة_الطوارئ_القانون_التظاهر,المواطنين_الامن_النار_المسلحة_عناصر_وأضاف_مدينة,السيد_دمشق_العام_جامعة_العربية_وزيرا_العربي,بغداد_بجروح_الشرطة_العراقية_مقتل_مصدر_العراق,سورية_التعاون_البلدين_العلاقات_السورية_مجلس_الوزراء,الرئيس_الأسد_سورية_المنطقة_العلاقات_الخارجية_وزير,العامة_مجلس_المادة_رقم_القانون_مشروع_وزير,الشهيد_الوطن_الشرطي_للوطن_سورية_الله_الشهداء,العربية_الدولية_الدولي_الدول_اسرائيل_المتحدة_العربي,الاحتلال_الفلسطينية_الاسرائيلي_قوات_الفلسطينيين_غزة_مدينة,ليبيا_الليبية_الليبي_أمس_وكالة_الشعب_مصر,سورية_الوطنية_الرئيس_الشعب_السوري_الأسد_السورية,لبنان_اللبنانية_اللبناني_الله_السورية_المقاومة_السوريين,مم_المنطقة_منطقة_محافظة_درجات_الحرارة_دمشق,المتحدة_ونقلت_الولايات_قوله_أمس_العام_الامريكية
سورية,0.00539676318244061,0.0022851662673627,0.00320991526964358,1.88014454551266e-06,0.0170925358157135,0.0194052306507417,0.00388264036062882,0.0111465219879413,9.09608559052697e-07,5.03911867829964e-07,8.633908466756e-07,0.0452355417411883,0.00518470601569649,2.95749488353385e-06,1.40642228673012e-06
الاحتلال,1.24035007640557e-06,1.75646907560546e-06,1.78229609641509e-06,9.58873718211456e-05,9.57511389597979e-07,1.49259523503897e-06,8.25917966523893e-07,1.58084271563485e-06,0.00313905913729086,0.0390788692620815,8.633908466756e-07,0.000241626556123186,0.000761603043094845,2.95749488353385e-06,1.40642228673012e-06
أمس,0.000745450395919745,0.00316340080516543,0.000358241515379433,0.00818050891752558,0.00287349168018354,0.000225381880490885,8.25917966523893e-07,0.00166146569413223,0.000683116027848576,0.00655135819365736,0.00885061956927158,0.00553975037809338,0.0065669256946345,0.00547432302942116,0.00675223339859133
الفلسطينية,1.24035007640557e-06,1.75646907560546e-06,1.78229609641509e-06,1.88014454551266e-06,9.57511389597979e-07,0.00134482830677011,8.25917966523893e-07,1.58084271563485e-06,0.00368482427272248,0.0218702789756883,8.633908466756e-07,0.001245059098163,1.38221967893801e-06,2.95749488353385e-06,1.40642228673012e-06
الرئيس,0.00155167794558336,1.75646907560546e-06,0.000714700734662451,1.88014454551266e-06,0.00105422003994738,0.0338834044306197,8.25917966523893e-07,0.000950086472096546,9.09608559052697e-07,5.03911867829964e-07,0.00228884913453702,0.0115603456303322,0.00304226551334257,2.95749488353385e-06,0.00492388442584217
مم,1.24035007640557e-06,1.75646907560546e-06,1.78229609641509e-06,1.88014454551266e-06,9.57511389597979e-07,1.49259523503897e-06,8.25917966523893e-07,1.58084271563485e-06,9.09608559052697e-07,5.03911867829964e-07,8.633908466756e-07,8.02746033631848e-07,1.38221967893801e-06,0.142702085625392,1.40642228673012e-06
الاسرائيلي,1.24035007640557e-06,1.75646907560546e-06,0.000180011905737924,1.88014454551266e-06,9.57511389597979e-07,1.49259523503897e-06,8.25917966523893e-07,1.58084271563485e-06,0.00664105208964374,0.0159745101220777,8.633908466756e-07,0.00128519639984459,0.0064287037267407,2.95749488353385e-06,1.40642228673012e-06
العربية,0.000435362876818353,1.75646907560546e-06,0.00918060719263413,1.88014454551266e-06,0.00158085130422626,0.007315209246926,0.000950631579469001,1.58084271563485e-06,0.0214676716022027,0.000126481878825321,8.633908466756e-07,0.0054594757747302,0.00200560075413906,2.95749488353385e-06,1.40642228673012e-06
المنطقة,1.24035007640557e-06,0.0013191082757797,0.000625585929841697,1.88014454551266e-06,0.00210748256850515,0.0112705866197793,0.00103322337612139,1.58084271563485e-06,9.09608559052697e-07,0.00166341307570671,0.00164130599953032,0.00365329719905854,0.00283493256150187,0.0564911097703801,1.40642228673012e-06
الشعب,0.000497380380638632,1.75646907560546e-06,0.00303168566000207,1.88014454551266e-06,0.000192459789309194,0.0048524271091117,0.000909335681142806,0.00110817074366003,0.00536760010696997,0.00224291172371117,0.00716700741825416,0.0106773249933372,1.38221967893801e-06,2.95749488353385e-06,0.000142048650959743
مجلس,0.0017377304570442,1.75646907560546e-06,0.00561601499980395,0.00197603191733381,0.00785255090609303,1.49259523503897e-06,0.00854907687148882,1.58084271563485e-06,0.00486731539949098,0.000403633406131801,0.0038429526585531,8.02746033631848e-07,0.00262759960966116,2.95749488353385e-06,0.00351746213911204
الوطنية,1.24035007640557e-06,1.75646907560546e-06,0.00303168566000207,0.00141198855368001,0.000766966623067982,1.49259523503897e-06,8.25917966523893e-07,0.00474410898962019,0.00145628330304337,0.0032255398659796,0.000303050187183136,0.0153332519884019,0.00483915109596198,2.95749488353385e-06,1.40642228673012e-06
مدينة,1.24035007640557e-06,0.00465639951943006,0.000803815539483206,0.00489025596287843,0.00038396206722879,1.49259523503897e-06,0.000868039782816612,0.00189859210147746,9.09608559052697e-07,0.0103558927957736,0.00582875160590698,8.02746033631848e-07,0.000554270091254143,0.00177745442500384,1.40642228673012e-06
العام,0.00589290321300284,1.75646907560546e-06,0.0112302477035115,0.0025400752809876,0.00239473598538455,0.000971679498010371,0.00413041575058599,0.000238707250060863,0.00341194170500667,0.000932740867353264,0.00215934050753568,0.000723274176302295,0.00331870944913017,2.95749488353385e-06,0.00633030671257229
