identifier,حالة_قانون_أمن_الدولة_الطوارئ_القانون_التظاهر,المواطنين_الامن_النار_المسلحة_عناصر_وأضاف_مدينة,السيد_دمشق_العام_جامعة_العربية_وزيرا_العربي,بغداد_بجروح_الشرطة_العراقية_مقتل_مصدر_العراق,سورية_التعاون_البلدين_العلاقات_السورية_مجلس_الوزراء,الرئيس_الأسد_سورية_المنطقة_العلاقات_الخارجية_وزير,العامة_مجلس_المادة_رقم_القانون_مشروع_وزير,الشهيد_الوطن_الشرطي_للوطن_سورية_الله_الشهداء,العربية_الدولية_الدولي_الدول_اسرائيل_المتحدة_العربي,الاحتلال_الفلسطينية_الاسرائيلي_قوات_الفلسطينيين_غزة_مدينة,ليبيا_الليبية_الليبي_أمس_وكالة_الشعب_مصر,سورية_الوطنية_الرئيس_الشعب_السوري_الأسد_السورية,لبنان_اللبنانية_اللبناني_الله_السورية_المقاومة_السوريين,مم_المنطقة_منطقة_محافظة_درجات_الحرارة_دمشق,المتحدة_ونقلت_الولايات_قوله_أمس_العام_الامريكية
TH20101217$1,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.0306306306306306,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.961561561561562,0.000600600600600601
TH20101217$2,0.126128016789087,0.000209863588667366,0.000209863588667366,0.000209863588667366,0.189087093389297,0.210073452256034,0.000209863588667366,0.000209863588667366,0.377964323189927,0.0946484784889822,0.000209863588667366,0.000209863588667366,0.000209863588667366,0.000209863588667366,0.000209863588667366
TH20101217$3,0.000186393289841566,0.000186393289841566,0.000186393289841566,0.000186393289841566,0.000186393289841566,0.000186393289841566,0.0374650512581547,0.000186393289841566,0.000186393289841566,0.000186393289841566,0.000186393289841566,0.000186393289841566,0.000186393289841566,0.000186393289841566,0.960111835973905
TH20101217$4,0.00016220600162206,0.00016220600162206,0.00016220600162206,0.00016220600162206,0.186699107866991,0.0569343065693431,0.00016220600162206,0.00016220600162206,0.567883211678832,0.0407137064071371,0.00016220600162206,0.146147607461476,0.00016220600162206,0.00016220600162206,0.00016220600162206
TH20101217$5,0.000234466588511137,0.000234466588511137,0.375381008206331,0.000234466588511137,0.222977725674091,0.246424384525205,0.000234466588511137,0.0471277842907386,0.000234466588511137,0.000234466588511137,0.105744431418523,0.000234466588511137,0.000234466588511137,0.000234466588511137,0.000234466588511137
TH20101217$6,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.109413369713506,0.0684856753069577,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.000272851296043656,0.136698499317872,0.0821282401091405,0.000272851296043656,0.600545702592087
TH20101217$7,0.0681715575620768,0.158465011286682,0.000451467268623025,0.000451467268623025,0.000451467268623025,0.000451467268623025,0.609932279909707,0.000451467268623025,0.000451467268623025,0.000451467268623025,0.0230248306997743,0.000451467268623025,0.000451467268623025,0.13589164785553,0.000451467268623025
TH20101217$8,0.0709836571076164,6.16712920135677e-05,6.16712920135677e-05,0.425593586185631,6.16712920135677e-05,0.0586493987049029,0.0339808818994758,6.16712920135677e-05,0.200493370336109,6.16712920135677e-05,0.00622880049337034,6.16712920135677e-05,0.0463151403021893,6.16712920135677e-05,0.157323465926611
TH20101217$9,0.0522452633149336,2.98373862449649e-05,2.98373862449649e-05,2.98373862449649e-05,2.98373862449649e-05,0.0164403998209757,0.0418021781291959,0.0492615246904371,0.104460689243622,0.0805907802476503,2.98373862449649e-05,0.135789944800835,0.519200358048635,2.98373862449649e-05,2.98373862449649e-05
TH20101217$10,0.000522193211488251,0.000522193211488251,0.104960835509138,0.000522193211488251,0.000522193211488251,0.548825065274151,0.000522193211488251,0.000522193211488251,0.209399477806789,0.000522193211488251,0.000522193211488251,0.131070496083551,0.000522193211488251,0.000522193211488251,0.000522193211488251
TH20101217$11,0.0289011277209546,5.24521374246001e-05,0.0577498033044847,5.24521374246001e-05,0.771098872279045,0.0865984788880147,0.0498819826907946,5.24521374246001e-05,5.24521374246001e-05,5.24521374246001e-05,5.24521374246001e-05,5.24521374246001e-05,5.24521374246001e-05,5.24521374246001e-05,0.00529766587988461
TH20101217$12,0.000169061707523246,0.000169061707523246,0.000169061707523246,0.000169061707523246,0.219949281487743,0.000169061707523246,0.160777683854607,0.000169061707523246,0.422823330515638,0.000169061707523246,0.0255283178360101,0.169230769230769,0.000169061707523246,0.000169061707523246,0.000169061707523246
TH20101217$13,3.0993336432667e-05,3.0993336432667e-05,3.0993336432667e-05,3.0993336432667e-05,3.0993336432667e-05,3.0993336432667e-05,0.0263753293041996,3.0993336432667e-05,0.170494343716101,0.630745389741206,0.0651169998450333,0.0248256624825662,0.0263753293041996,3.0993336432667e-05,0.0558189989152332
TH20101217$14,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.390990990990991,0.000600600600600601,0.210810810810811,0.000600600600600601,0.000600600600600601,0.0606606606606607,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.330930930930931
TH20101211$15,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.000600600600600601,0.991591591591592,0.000600600600600601
TH20101211$16,0.051128914785142,0.000145666423889294,0.000145666423889294,0.000145666423889294,0.000145666423889294,0.000145666423889294,0.0365622723962127,0.000145666423889294,0.0438455935906773,0.000145666423889294,0.000145666423889294,0.000145666423889294,0.000145666423889294,0.000145666423889294,0.866860888565186
