MFWs,frequency
مصر,0.0116192305
الثورة,0.0064145197
أى,0.0050598069
الآن,0.0044167389
الشعب,0.0042511198
النظام,0.0040893823
هى,0.0037639666
ولكن,0.0035174787
لأن,0.0033964991
المصرى,0.0032884585
الدولة,0.0032593458
مبارك,0.0030943736
الرئيس,0.0030199744
ليس,0.0029080521
ثورة,0.0028892905
وأن,0.0028634125
يجب,0.0028116566
هل,0.002767017
إذا,0.002677091
إلا,0.0024668323
تكون,0.0023257973
وليس,0.0023219156
بل,0.0023154461
مثل,0.0023018602
بأن,0.0022766291
تلك,0.0022035238
أكثر,0.0021964073
فقط,0.0020042633
أحد,0.001942803
المصرية,0.001942803
المصريين,0.0019221007
الناس,0.0019078678
وهذا,0.0019033391
يناير,0.0018968696
حدث,0.0017920638
فإن,0.0017707144
العالم,0.0017409547
الأمر,0.0016775536
الفساد,0.0016756128
أخرى,0.0016025075
وما,0.0015908624
نظام,0.0015604557
وفى,0.0015404003
أما,0.0015151693
وهى,0.0014944669
السياسية,0.0014905852
نحن,0.001480234
الشباب,0.0014731175
فقد,0.0014504743
السلطة,0.0014336536
هؤلاء,0.0014258902
السياسى,0.0014200676
البعض,0.001414892
الوطن,0.0014135981
يكن,0.001403247
يحدث,0.0013928958
أنها,0.0013799568
الحكم,0.0013463154
الإعلام,0.0013243191
الحكومة,0.0013243191
دولة,0.0013068514
لأنه,0.0012796795
ليست,0.001261565
المجتمع,0.0012602711
ألا,0.0012544485
حالة,0.0012408626
سوف,0.0012208071
أننا,0.0012195132
أجل,0.0012143376
أيضاً,0.0012123968
شىء,0.001209162
لو,0.0011981639
جديد,0.0011878127
٢٥,0.001183284
الجميع,0.0011819901
وإنما,0.0011664633
كيف,0.0011438201
بما,0.0011347628
أم,0.0011224708
لهم,0.0011088848
البلاد,0.0011056501
أمام,0.0011030623
بكل,0.0010765373
لقد,0.0010668331
ظل,0.0010661861
وإذا,0.0010661861
هنا,0.0010603636
مما,0.0010435429
الديمقراطية,0.001042249
آخر,0.001016371
علينا,0.0009969625
لنا,0.000978201
هم,0.0009717315
جديدة,0.0009691437
الجيش,0.0009581455
الأمور,0.0009581455
التغيير,0.0009542638
الشارع,0.0009406779
رغم,0.0009374431
يتم,0.0009367962
