MFWs,frequency
العام,0.0080153087
المحكمة,0.0072949607
وزير,0.0068657378
مبارك,0.006778027
المستشار,0.0066473939
النيابة,0.006087538
التحقيقات,0.0052944087
العامة,0.0052906763
الدولة,0.0047009613
محكمة,0.0042325485
النائب,0.0041261759
الأموال,0.0041149787
الرئيس,0.0039694162
المتهم,0.0039059658
القضية,0.0038201213
أحمد,0.003607376
التحقيق,0.0035495242
الجهاز,0.0032266739
قرار,0.0031221675
مجلس,0.0030736466
تلك,0.0030605833
هيئة,0.0029038236
جنيه,0.0028609014
الأعمال,0.0027358669
المتهمين,0.0026724165
أمس,0.0026220295
المصرى,0.0025305863
الأسبق,0.0025137907
الداخلية,0.0024652698
المشروع,0.0024522065
القاهرة,0.0024484741
جهاز,0.0024484741
قضية,0.002437277
وأن,0.0023514324
أى,0.0023197072
الحكم,0.002187208
القضاء,0.0021741447
بأن,0.0021648138
أمام,0.0021498843
الوزراء,0.0020901663
عز,0.0020584411
مصادر,0.0020565749
طلب,0.0020099203
أمن,0.0020080541
العادلى,0.0020080541
الكسب,0.0018662239
مصر,0.0018587592
الجلسة,0.001847562
العدل,0.0018382311
أموال,0.0018344987
إنه,0.0018326325
وزارة,0.0017990412
المالية,0.0017915764
محمود,0.0017617175
الإدارية,0.0017579851
الدفاع,0.0016908024
معه,0.0016684081
شركة,0.0016329506
جمال,0.0016236197
اللجنة,0.0016217535
الخاصة,0.0016105563
إدارة,0.0015750988
المال,0.0015695002
السجن,0.0015620355
الأول,0.0015545707
أخرى,0.0015097823
سليمان,0.0014836557
الوزير,0.0014780571
جلسة,0.0014444657
الشيخ,0.0014295362
بشأن,0.0014239377
حسنى,0.0013996773
نيابة,0.0013922125
برئاسة,0.0013698183
العليا,0.0013660859
قضايا,0.0013660859
محاكمة,0.001356755
حسين,0.0013380931
فيما,0.0013250298
سجن,0.0013156989
حق,0.0013138327
طرة,0.0013119665
أحد,0.0012933046
حكم,0.0012914384
يتم,0.0012895723
إلا,0.0012877061
المحامى,0.0012877061
إبراهيم,0.0012802413
الشريف,0.0012802413
سالم,0.0012690442
رجل,0.0012335867
القانون,0.0012317205
المصرية,0.0012261219
الشعب,0.0012130586
حبيب,0.0012130586
وأنه,0.00120746
قضائية,0.0012055939
علاء,0.0012037277
إليه,0.0011962629
القانونية,0.001186932
