MFWs,frequency
الحزب,0.0122214082
الانتخابات,0.0108709376
المجلس,0.0094548509
الشعب,0.0089528115
مجلس,0.0086918731
الإخوان,0.0072681566
حزب,0.0064136215
السياسية,0.0064090437
الدستور,0.0061191121
الوطنى,0.0059070043
الجماعة,0.0052355839
انتخابات,0.0049960089
اللجنة,0.0043154327
البرلمان,0.0042070899
أعضاء,0.0037828742
الدستورية,0.0037157322
الأحزاب,0.0036226489
الجمهورية,0.0035890779
المصرى,0.0033891777
الرئيس,0.0033739182
لجنة,0.0033250876
وأضاف,0.0031618103
التعديلات,0.0031328172
العام,0.0030824607
المسلمين,0.0028001589
الوفد,0.002763536
الانتخابية,0.0026979199
البرلمانية,0.0026414595
دستور,0.0025926289
عضو,0.0025849992
الاستفتاء,0.0025132792
مصر,0.0024736044
أمس,0.0024385074
النظام,0.0024385074
الرئاسية,0.002385099
أحمد,0.0023347425
الحكومة,0.0023255867
الأول,0.0023088012
المسلحة,0.0022599706
المقبلة,0.002246237
المعارضة,0.0022309775
جماعة,0.0022218217
السلطة,0.0022111401
العليا,0.0022019843
الأعلى,0.002145524
الجديد,0.0021333163
نائب,0.002108901
للحزب,0.0020554926
الجمعية,0.002040233
للقوات,0.0020234475
الرئاسة,0.0019959803
المرشحين,0.0019547795
التصويت,0.0019471498
وأكد,0.0019303642
مرشح,0.0019181566
جديد,0.001869326
القانون,0.0018678001
لـ,0.0018632222
المادة,0.001834229
القوى,0.0017960802
تشكيل,0.0017838725
المرشح,0.0017792946
الدولة,0.0017472496
الثورة,0.0017365679
قانون,0.0017350419
إنه,0.0016862114
والعدالة,0.0016709518
المؤتمر,0.0016617961
البرادعى,0.0016617961
القضاء,0.0016450106
الحرية,0.0016389067
إجراء,0.0016358548
الحوار,0.0016205953
السياسى,0.0016068617
الوزراء,0.0015153043
للانتخابات,0.0015107265
قرار,0.0014847852
فيما,0.0014786814
أى,0.0014756295
أحد,0.0014603699
اللجان,0.0014496883
المرحلة,0.0014390066
المشاركة,0.0014283249
الترشح,0.0013825462
داخل,0.0013489752
النواب,0.0013474492
بـ,0.0013459233
الإسلامية,0.0013352416
يتم,0.0013337156
أمام,0.0013123523
أكد,0.0013108263
وأن,0.0013077744
تعديل,0.0012955667
شفيق,0.0012787812
وجود,0.0012742034
الناخبين,0.0012680995
أحزاب,0.00125284
اختيار,0.0012391064
قيادات,0.0012314766
حكومة,0.0012238468
