author_id,author_name,passage,words_spent,author_wordcount,percentage
02-14,"ابن عطية",005:003,3919,3898144,0.10054
02-14,"ابن عطية",005:004,3919,3898144,0.10054
02-14,"ابن عطية",005:005,3919,3898144,0.10054
02-14,"ابن عطية",001:001,3696,3898144,0.09481
02-14,"ابن عطية",001:002,3696,3898144,0.09481
02-14,"ابن عطية",001:003,3696,3898144,0.09481
02-14,"ابن عطية",001:004,3696,3898144,0.09481
02-14,"ابن عطية",001:005,3696,3898144,0.09481
02-14,"ابن عطية",001:006,3696,3898144,0.09481
02-14,"ابن عطية",001:007,3696,3898144,0.09481
02-14,"ابن عطية",003:072,3050,3898144,0.07824
02-14,"ابن عطية",003:073,3050,3898144,0.07824
02-14,"ابن عطية",003:074,3050,3898144,0.07824
02-14,"ابن عطية",003:075,3050,3898144,0.07824
02-14,"ابن عطية",003:076,3050,3898144,0.07824
02-14,"ابن عطية",003:077,3050,3898144,0.07824
02-14,"ابن عطية",002:282,3008,3898144,0.07716
02-14,"ابن عطية",003:078,2979,3898144,0.07642
02-14,"ابن عطية",003:079,2979,3898144,0.07642
02-14,"ابن عطية",003:080,2979,3898144,0.07642
02-14,"ابن عطية",003:081,2979,3898144,0.07642
02-14,"ابن عطية",003:082,2979,3898144,0.07642
02-14,"ابن عطية",003:083,2979,3898144,0.07642
02-14,"ابن عطية",005:106,2692,3898144,0.06906
02-14,"ابن عطية",005:107,2692,3898144,0.06906
02-14,"ابن عطية",003:097,2566,3898144,0.06583
02-14,"ابن عطية",003:144,2484,3898144,0.06372
02-14,"ابن عطية",003:145,2484,3898144,0.06372
02-14,"ابن عطية",003:146,2484,3898144,0.06372
02-14,"ابن عطية",005:006,2468,3898144,0.06331
02-14,"ابن عطية",002:195,2386,3898144,0.06121
02-14,"ابن عطية",002:196,2386,3898144,0.06121
02-14,"ابن عطية",004:011,2366,3898144,0.0607
02-14,"ابن عطية",004:012,2366,3898144,0.0607
02-14,"ابن عطية",005:095,2350,3898144,0.06029
02-14,"ابن عطية",009:060,2218,3898144,0.0569
02-14,"ابن عطية",004:101,2215,3898144,0.05682
02-14,"ابن عطية",003:005,2205,3898144,0.05657
02-14,"ابن عطية",003:006,2205,3898144,0.05657
02-14,"ابن عطية",003:007,2205,3898144,0.05657
02-14,"ابن عطية",004:043,2182,3898144,0.05598
02-14,"ابن عطية",002:259,2137,3898144,0.05482
02-14,"ابن عطية",005:001,2083,3898144,0.05344
02-14,"ابن عطية",007:142,2045,3898144,0.05246
02-14,"ابن عطية",007:143,2045,3898144,0.05246
02-14,"ابن عطية",007:144,2045,3898144,0.05246
02-14,"ابن عطية",007:145,2045,3898144,0.05246
02-14,"ابن عطية",002:105,2040,3898144,0.05233
02-14,"ابن عطية",002:106,2040,3898144,0.05233
02-14,"ابن عطية",002:178,1987,3898144,0.05097
02-14,"ابن عطية",002:179,1987,3898144,0.05097
02-14,"ابن عطية",002:180,1987,3898144,0.05097
02-14,"ابن عطية",002:030,1960,3898144,0.05028
02-14,"ابن عطية",002:031,1960,3898144,0.05028
02-14,"ابن عطية",002:032,1960,3898144,0.05028
02-14,"ابن عطية",008:001,1931,3898144,0.04954
02-14,"ابن عطية",002:217,1928,3898144,0.04946
02-14,"ابن عطية",002:218,1928,3898144,0.04946
02-14,"ابن عطية",002:219,1928,3898144,0.04946
02-14,"ابن عطية",038:021,1781,3898144,0.04569
02-14,"ابن عطية",038:022,1781,3898144,0.04569
02-14,"ابن عطية",038:023,1781,3898144,0.04569
02-14,"ابن عطية",038:024,1781,3898144,0.04569
02-14,"ابن عطية",003:153,1765,3898144,0.04528
02-14,"ابن عطية",003:154,1765,3898144,0.04528
02-14,"ابن عطية",008:041,1761,3898144,0.04518
02-14,"ابن عطية",005:088,1714,3898144,0.04397
02-14,"ابن عطية",005:089,1714,3898144,0.04397
02-14,"ابن عطية",002:181,1698,3898144,0.04356
02-14,"ابن عطية",002:182,1698,3898144,0.04356
02-14,"ابن عطية",002:183,1698,3898144,0.04356
02-14,"ابن عطية",002:184,1698,3898144,0.04356
02-14,"ابن عطية",009:001,1685,3898144,0.04323
02-14,"ابن عطية",009:002,1685,3898144,0.04323
02-14,"ابن عطية",009:003,1685,3898144,0.04323
02-14,"ابن عطية",005:058,1658,3898144,0.04253
02-14,"ابن عطية",005:059,1658,3898144,0.04253
02-14,"ابن عطية",005:060,1658,3898144,0.04253
02-14,"ابن عطية",002:204,1638,3898144,0.04202
02-14,"ابن عطية",002:205,1638,3898144,0.04202
02-14,"ابن عطية",002:206,1638,3898144,0.04202
02-14,"ابن عطية",002:207,1638,3898144,0.04202
02-14,"ابن عطية",002:208,1638,3898144,0.04202
02-14,"ابن عطية",003:038,1634,3898144,0.04192
02-14,"ابن عطية",003:039,1634,3898144,0.04192
02-14,"ابن عطية",048:027,1623,3898144,0.04164
02-14,"ابن عطية",048:028,1623,3898144,0.04164
02-14,"ابن عطية",048:029,1623,3898144,0.04164
02-14,"ابن عطية",013:011,1596,3898144,0.04094
02-14,"ابن عطية",013:012,1596,3898144,0.04094
02-14,"ابن عطية",013:013,1596,3898144,0.04094
02-14,"ابن عطية",003:001,1582,3898144,0.04058
02-14,"ابن عطية",003:002,1582,3898144,0.04058
02-14,"ابن عطية",003:003,1582,3898144,0.04058
02-14,"ابن عطية",003:004,1582,3898144,0.04058
02-14,"ابن عطية",024:030,1574,3898144,0.04038
02-14,"ابن عطية",024:031,1574,3898144,0.04038
02-14,"ابن عطية",024:032,1574,3898144,0.04038
02-14,"ابن عطية",002:260,1534,3898144,0.03935
02-14,"ابن عطية",017:070,1534,3898144,0.03935
02-14,"ابن عطية",017:071,1534,3898144,0.03935
02-14,"ابن عطية",017:072,1534,3898144,0.03935
02-14,"ابن عطية",017:073,1534,3898144,0.03935
02-14,"ابن عطية",017:074,1534,3898144,0.03935
02-14,"ابن عطية",017:075,1534,3898144,0.03935
02-14,"ابن عطية",009:108,1531,3898144,0.03928
02-14,"ابن عطية",009:109,1531,3898144,0.03928
02-14,"ابن عطية",002:197,1525,3898144,0.03912
02-14,"ابن عطية",002:198,1525,3898144,0.03912
02-14,"ابن عطية",003:048,1522,3898144,0.03904
02-14,"ابن عطية",003:049,1522,3898144,0.03904
02-14,"ابن عطية",005:033,1520,3898144,0.03899
02-14,"ابن عطية",005:034,1520,3898144,0.03899
02-14,"ابن عطية",017:076,1512,3898144,0.03879
02-14,"ابن عطية",017:077,1512,3898144,0.03879
02-14,"ابن عطية",017:078,1512,3898144,0.03879
02-14,"ابن عطية",017:079,1512,3898144,0.03879
02-14,"ابن عطية",012:023,1504,3898144,0.03858
02-14,"ابن عطية",012:024,1504,3898144,0.03858
02-14,"ابن عطية",012:025,1504,3898144,0.03858
02-14,"ابن عطية",004:097,1480,3898144,0.03797
02-14,"ابن عطية",004:098,1480,3898144,0.03797
