author_id,author_name,passage,words_spent,author_wordcount,percentage
02-19,"ابو حيان",007:057,4180,13683994,0.03055
02-19,"ابو حيان",007:058,4180,13683994,0.03055
02-19,"ابو حيان",007:059,4180,13683994,0.03055
02-19,"ابو حيان",007:060,4180,13683994,0.03055
02-19,"ابو حيان",007:061,4180,13683994,0.03055
02-19,"ابو حيان",007:062,4180,13683994,0.03055
02-19,"ابو حيان",007:063,4180,13683994,0.03055
02-19,"ابو حيان",007:064,4180,13683994,0.03055
02-19,"ابو حيان",007:065,4180,13683994,0.03055
02-19,"ابو حيان",007:066,4180,13683994,0.03055
02-19,"ابو حيان",007:067,4180,13683994,0.03055
02-19,"ابو حيان",007:068,4180,13683994,0.03055
02-19,"ابو حيان",007:069,4180,13683994,0.03055
02-19,"ابو حيان",007:070,4180,13683994,0.03055
02-19,"ابو حيان",007:071,4180,13683994,0.03055
02-19,"ابو حيان",007:072,4180,13683994,0.03055
02-19,"ابو حيان",007:073,4180,13683994,0.03055
02-19,"ابو حيان",007:074,4180,13683994,0.03055
02-19,"ابو حيان",007:075,4180,13683994,0.03055
02-19,"ابو حيان",007:076,4180,13683994,0.03055
02-19,"ابو حيان",007:077,4180,13683994,0.03055
02-19,"ابو حيان",007:078,4180,13683994,0.03055
02-19,"ابو حيان",007:079,4180,13683994,0.03055
02-19,"ابو حيان",007:080,4180,13683994,0.03055
02-19,"ابو حيان",007:081,4180,13683994,0.03055
02-19,"ابو حيان",007:082,4180,13683994,0.03055
02-19,"ابو حيان",007:083,4180,13683994,0.03055
02-19,"ابو حيان",007:084,4180,13683994,0.03055
02-19,"ابو حيان",007:085,4180,13683994,0.03055
02-19,"ابو حيان",007:171,4168,13683994,0.03046
02-19,"ابو حيان",007:172,4168,13683994,0.03046
02-19,"ابو حيان",007:173,4168,13683994,0.03046
02-19,"ابو حيان",007:174,4168,13683994,0.03046
02-19,"ابو حيان",007:175,4168,13683994,0.03046
02-19,"ابو حيان",007:176,4168,13683994,0.03046
02-19,"ابو حيان",007:177,4168,13683994,0.03046
02-19,"ابو حيان",007:178,4168,13683994,0.03046
02-19,"ابو حيان",007:179,4168,13683994,0.03046
02-19,"ابو حيان",007:180,4168,13683994,0.03046
02-19,"ابو حيان",007:181,4168,13683994,0.03046
02-19,"ابو حيان",007:182,4168,13683994,0.03046
02-19,"ابو حيان",007:183,4168,13683994,0.03046
02-19,"ابو حيان",007:184,4168,13683994,0.03046
02-19,"ابو حيان",007:185,4168,13683994,0.03046
02-19,"ابو حيان",007:186,4168,13683994,0.03046
02-19,"ابو حيان",007:187,4168,13683994,0.03046
02-19,"ابو حيان",008:001,4158,13683994,0.03039
02-19,"ابو حيان",008:002,4158,13683994,0.03039
02-19,"ابو حيان",008:003,4158,13683994,0.03039
02-19,"ابو حيان",008:004,4158,13683994,0.03039
02-19,"ابو حيان",008:005,4158,13683994,0.03039
02-19,"ابو حيان",008:006,4158,13683994,0.03039
02-19,"ابو حيان",008:007,4158,13683994,0.03039
02-19,"ابو حيان",008:008,4158,13683994,0.03039
02-19,"ابو حيان",008:009,4158,13683994,0.03039
02-19,"ابو حيان",008:010,4158,13683994,0.03039
02-19,"ابو حيان",008:011,4158,13683994,0.03039
02-19,"ابو حيان",008:012,4158,13683994,0.03039
02-19,"ابو حيان",005:101,4139,13683994,0.03025
02-19,"ابو حيان",005:102,4139,13683994,0.03025
02-19,"ابو حيان",005:103,4139,13683994,0.03025
02-19,"ابو حيان",005:104,4139,13683994,0.03025
02-19,"ابو حيان",005:105,4139,13683994,0.03025
02-19,"ابو حيان",005:106,4139,13683994,0.03025
02-19,"ابو حيان",005:107,4139,13683994,0.03025
02-19,"ابو حيان",005:108,4139,13683994,0.03025
02-19,"ابو حيان",005:109,4139,13683994,0.03025
02-19,"ابو حيان",005:110,4139,13683994,0.03025
02-19,"ابو حيان",005:111,4139,13683994,0.03025
02-19,"ابو حيان",005:112,4139,13683994,0.03025
02-19,"ابو حيان",005:113,4139,13683994,0.03025
02-19,"ابو حيان",005:114,4139,13683994,0.03025
02-19,"ابو حيان",007:143,4093,13683994,0.02991
02-19,"ابو حيان",007:144,4093,13683994,0.02991
02-19,"ابو حيان",007:145,4093,13683994,0.02991
02-19,"ابو حيان",007:146,4093,13683994,0.02991
02-19,"ابو حيان",007:147,4093,13683994,0.02991
02-19,"ابو حيان",007:148,4093,13683994,0.02991
02-19,"ابو حيان",007:149,4093,13683994,0.02991
02-19,"ابو حيان",007:150,4093,13683994,0.02991
02-19,"ابو حيان",007:151,4093,13683994,0.02991
02-19,"ابو حيان",007:152,4093,13683994,0.02991
