author_id,author_name,passage,words_spent,author_wordcount,percentage
01-01,"الطبري",002:259,4278,4279407,0.09997
01-01,"الطبري",002:030,3999,4279407,0.09345
01-01,"الطبري",024:011,3993,4279407,0.09331
01-01,"الطبري",002:001,3987,4279407,0.09317
01-01,"الطبري",002:102,3984,4279407,0.0931
01-01,"الطبري",017:004,3978,4279407,0.09296
01-01,"الطبري",017:005,3978,4279407,0.09296
01-01,"الطبري",017:007,3974,4279407,0.09286
01-01,"الطبري",021:083,3972,4279407,0.09282
01-01,"الطبري",021:084,3972,4279407,0.09282
01-01,"الطبري",005:107,3971,4279407,0.09279
01-01,"الطبري",001:001,3946,4279407,0.09221
01-01,"الطبري",002:251,3946,4279407,0.09221
01-01,"الطبري",002:020,3940,4279407,0.09207
01-01,"الطبري",018:019,3939,4279407,0.09205
01-01,"الطبري",018:020,3939,4279407,0.09205
01-01,"الطبري",002:184,3928,4279407,0.09179
01-01,"الطبري",002:198,3926,4279407,0.09174
01-01,"الطبري",002:199,3926,4279407,0.09174
01-01,"الطبري",002:203,3925,4279407,0.09172
01-01,"الطبري",002:217,3923,4279407,0.09167
01-01,"الطبري",005:095,3923,4279407,0.09167
01-01,"الطبري",005:033,3922,4279407,0.09165
01-01,"الطبري",009:001,3920,4279407,0.0916
01-01,"الطبري",009:002,3920,4279407,0.0916
01-01,"الطبري",004:031,3914,4279407,0.09146
01-01,"الطبري",004:032,3914,4279407,0.09146
01-01,"الطبري",004:033,3914,4279407,0.09146
01-01,"الطبري",002:226,3912,4279407,0.09141
01-01,"الطبري",004:102,3904,4279407,0.09123
01-01,"الطبري",002:235,3903,4279407,0.0912
01-01,"الطبري",002:225,3902,4279407,0.09118
01-01,"الطبري",012:024,3902,4279407,0.09118
01-01,"الطبري",005:003,3900,4279407,0.09113
01-01,"الطبري",005:004,3900,4279407,0.09113
01-01,"الطبري",005:106,3898,4279407,0.09109
01-01,"الطبري",002:248,3897,4279407,0.09106
01-01,"الطبري",005:002,3896,4279407,0.09104
01-01,"الطبري",017:001,3896,4279407,0.09104
01-01,"الطبري",002:236,3895,4279407,0.09102
01-01,"الطبري",002:233,3894,4279407,0.09099
01-01,"الطبري",005:089,3893,4279407,0.09097
01-01,"الطبري",002:228,3890,4279407,0.0909
01-01,"الطبري",002:222,3888,4279407,0.09085
01-01,"الطبري",065:001,3884,4279407,0.09076
01-01,"الطبري",065:002,3884,4279407,0.09076
01-01,"الطبري",065:003,3884,4279407,0.09076
01-01,"الطبري",005:096,3879,4279407,0.09064
01-01,"الطبري",002:227,3878,4279407,0.09062
01-01,"الطبري",002:229,3874,4279407,0.09053
01-01,"الطبري",005:006,3871,4279407,0.09046
01-01,"الطبري",002:187,3870,4279407,0.09043
01-01,"الطبري",002:196,3870,4279407,0.09043
01-01,"الطبري",002:282,3867,4279407,0.09036
01-01,"الطبري",002:178,3864,4279407,0.09029
01-01,"الطبري",002:284,3864,4279407,0.09029
01-01,"الطبري",004:092,3856,4279407,0.09011
01-01,"الطبري",002:238,3855,4279407,0.09008
01-01,"الطبري",002:185,3853,4279407,0.09004
01-01,"الطبري",002:197,3844,4279407,0.08983
01-01,"الطبري",002:219,3844,4279407,0.08983
01-01,"الطبري",002:220,3844,4279407,0.08983
01-01,"الطبري",003:007,3833,4279407,0.08957
01-01,"الطبري",004:006,3830,4279407,0.0895
01-01,"الطبري",002:237,3829,4279407,0.08948
01-01,"الطبري",009:113,3828,4279407,0.08945
01-01,"الطبري",009:114,3828,4279407,0.08945
01-01,"الطبري",002:260,3825,4279407,0.08938
01-01,"الطبري",011:114,3823,4279407,0.08933
01-01,"الطبري",004:024,3822,4279407,0.08931
01-01,"الطبري",003:097,3819,4279407,0.08924
01-01,"الطبري",004:025,3813,4279407,0.0891
01-01,"الطبري",004:034,3798,4279407,0.08875
01-01,"الطبري",004:043,3794,4279407,0.08866
01-01,"الطبري",006:141,3793,4279407,0.08863
01-01,"الطبري",007:133,3780,4279407,0.08833
01-01,"الطبري",008:001,3754,4279407,0.08772
01-01,"الطبري",002:143,3748,4279407,0.08758
01-01,"الطبري",005:005,3723,4279407,0.087
01-01,"الطبري",002:158,3710,4279407,0.08669
01-01,"الطبري",108:001,3677,4279407,0.08592
01-01,"الطبري",108:002,3677,4279407,0.08592
01-01,"الطبري",108:003,3677,4279407,0.08592
01-01,"الطبري",005:044,3602,4279407,0.08417
01-01,"الطبري",004:003,3562,4279407,0.08324
01-01,"الطبري",001:007,3499,4279407,0.08176
01-01,"الطبري",048:025,3445,4279407,0.0805
01-01,"الطبري",095:001,3433,4279407,0.08022
01-01,"الطبري",095:002,3433,4279407,0.08022
01-01,"الطبري",095:003,3433,4279407,0.08022
01-01,"الطبري",095:004,3433,4279407,0.08022
01-01,"الطبري",095:005,3433,4279407,0.08022
01-01,"الطبري",095:006,3433,4279407,0.08022
01-01,"الطبري",009:060,3429,4279407,0.08013
01-01,"الطبري",009:003,3417,4279407,0.07985
01-01,"الطبري",004:019,3401,4279407,0.07947
01-01,"الطبري",015:087,3399,4279407,0.07943
01-01,"الطبري",002:036,3375,4279407,0.07887
01-01,"الطبري",007:172,3352,4279407,0.07833
01-01,"الطبري",005:042,3333,4279407,0.07788
01-01,"الطبري",002:097,3324,4279407,0.07767
01-01,"الطبري",002:061,3317,4279407,0.07751
01-01,"الطبري",107:001,3298,4279407,0.07707
01-01,"الطبري",107:002,3298,4279407,0.07707
01-01,"الطبري",107:003,3298,4279407,0.07707
01-01,"الطبري",107:004,3298,4279407,0.07707
01-01,"الطبري",107:005,3298,4279407,0.07707
01-01,"الطبري",107:006,3298,4279407,0.07707
01-01,"الطبري",107:007,3298,4279407,0.07707
01-01,"الطبري",006:158,3292,4279407,0.07693
01-01,"الطبري",004:011,3277,4279407,0.07658
01-01,"الطبري",002:223,3276,4279407,0.07655
01-01,"الطبري",004:123,3252,4279407,0.07599
01-01,"الطبري",024:035,3251,4279407,0.07597
01-01,"الطبري",011:038,3239,4279407,0.07569
01-01,"الطبري",011:039,3239,4279407,0.07569
01-01,"الطبري",011:040,3239,4279407,0.07569
01-01,"الطبري",008:041,3181,4279407,0.07433
01-01,"الطبري",022:027,3179,4279407,0.07429
01-01,"الطبري",022:028,3179,4279407,0.07429
01-01,"الطبري",022:029,3179,4279407,0.07429
01-01,"الطبري",018:092,3178,4279407,0.07426
01-01,"الطبري",018:093,3178,4279407,0.07426
01-01,"الطبري",018:094,3178,4279407,0.07426
01-01,"الطبري",003:152,3143,4279407,0.07344
01-01,"الطبري",013:011,3133,4279407,0.07321
01-01,"الطبري",003:124,3123,4279407,0.07298
01-01,"الطبري",003:125,3123,4279407,0.07298
01-01,"الطبري",105:001,3106,4279407,0.07258
01-01,"الطبري",105:002,3106,4279407,0.07258
01-01,"الطبري",105:003,3106,4279407,0.07258
01-01,"الطبري",105:004,3106,4279407,0.07258
01-01,"الطبري",105:005,3106,4279407,0.07258
01-01,"الطبري",007:073,3101,4279407,0.07246
01-01,"الطبري",002:124,3087,4279407,0.07214
01-01,"الطبري",005:103,3079,4279407,0.07195
01-01,"الطبري",002:065,3066,4279407,0.07165
01-01,"الطبري",002:066,3066,4279407,0.07165
