author_id,author_name,passage,words_spent,author_wordcount,percentage
02-13,"البغوي",017:002,4401,2488739,0.17684
02-13,"البغوي",017:003,4401,2488739,0.17684
02-13,"البغوي",017:004,4401,2488739,0.17684
02-13,"البغوي",018:010,3749,2488739,0.15064
02-13,"البغوي",004:043,3262,2488739,0.13107
02-13,"البغوي",021:082,3181,2488739,0.12782
02-13,"البغوي",021:083,3181,2488739,0.12782
02-13,"البغوي",002:196,3162,2488739,0.12705
02-13,"البغوي",033:008,3153,2488739,0.12669
02-13,"البغوي",033:009,3153,2488739,0.12669
02-13,"البغوي",110:001,3146,2488739,0.12641
02-13,"البغوي",048:021,3131,2488739,0.12581
02-13,"البغوي",048:022,3131,2488739,0.12581
02-13,"البغوي",048:023,3131,2488739,0.12581
02-13,"البغوي",048:024,3131,2488739,0.12581
02-13,"البغوي",048:025,3131,2488739,0.12581
02-13,"البغوي",001:001,2871,2488739,0.11536
02-13,"البغوي",001:002,2871,2488739,0.11536
02-13,"البغوي",001:003,2871,2488739,0.11536
02-13,"البغوي",001:004,2871,2488739,0.11536
02-13,"البغوي",001:005,2871,2488739,0.11536
02-13,"البغوي",001:006,2871,2488739,0.11536
02-13,"البغوي",001:007,2871,2488739,0.11536
02-13,"البغوي",002:184,2859,2488739,0.11488
02-13,"البغوي",002:185,2859,2488739,0.11488
02-13,"البغوي",062:001,2775,2488739,0.1115
02-13,"البغوي",062:002,2775,2488739,0.1115
02-13,"البغوي",062:003,2775,2488739,0.1115
02-13,"البغوي",062:004,2775,2488739,0.1115
02-13,"البغوي",062:005,2775,2488739,0.1115
02-13,"البغوي",062:006,2775,2488739,0.1115
02-13,"البغوي",062:007,2775,2488739,0.1115
02-13,"البغوي",062:008,2775,2488739,0.1115
02-13,"البغوي",062:009,2775,2488739,0.1115
02-13,"البغوي",037:123,2730,2488739,0.10969
02-13,"البغوي",048:018,2655,2488739,0.10668
02-13,"البغوي",048:019,2655,2488739,0.10668
02-13,"البغوي",048:020,2655,2488739,0.10668
02-13,"البغوي",033:024,2624,2488739,0.10543
02-13,"البغوي",033:025,2624,2488739,0.10543
02-13,"البغوي",033:026,2624,2488739,0.10543
02-13,"البغوي",017:001,2537,2488739,0.10194
02-13,"البغوي",003:103,2522,2488739,0.10134
02-13,"البغوي",007:076,2153,2488739,0.08651
02-13,"البغوي",007:077,2153,2488739,0.08651
02-13,"البغوي",007:078,2153,2488739,0.08651
02-13,"البغوي",007:079,2153,2488739,0.08651
02-13,"البغوي",002:259,2121,2488739,0.08522
02-13,"البغوي",002:250,2114,2488739,0.08494
02-13,"البغوي",002:251,2114,2488739,0.08494
02-13,"البغوي",002:252,2114,2488739,0.08494
02-13,"البغوي",024:011,2113,2488739,0.0849
02-13,"البغوي",009:116,2058,2488739,0.08269
02-13,"البغوي",009:117,2058,2488739,0.08269
02-13,"البغوي",027:025,2003,2488739,0.08048
02-13,"البغوي",027:026,2003,2488739,0.08048
02-13,"البغوي",027:027,2003,2488739,0.08048
02-13,"البغوي",027:028,2003,2488739,0.08048
02-13,"البغوي",027:029,2003,2488739,0.08048
02-13,"البغوي",027:030,2003,2488739,0.08048
02-13,"البغوي",027:031,2003,2488739,0.08048
02-13,"البغوي",027:032,2003,2488739,0.08048
02-13,"البغوي",027:033,2003,2488739,0.08048
02-13,"البغوي",027:034,2003,2488739,0.08048
02-13,"البغوي",027:035,2003,2488739,0.08048
02-13,"البغوي",027:036,2003,2488739,0.08048
02-13,"البغوي",027:037,2003,2488739,0.08048
02-13,"البغوي",027:038,2003,2488739,0.08048
02-13,"البغوي",002:219,2001,2488739,0.0804
02-13,"البغوي",002:220,2001,2488739,0.0804
02-13,"البغوي",004:011,1977,2488739,0.07944
02-13,"البغوي",049:012,1974,2488739,0.07932
02-13,"البغوي",002:222,1956,2488739,0.07859
02-13,"البغوي",002:223,1956,2488739,0.07859
02-13,"البغوي",017:079,1955,2488739,0.07855
02-13,"البغوي",002:001,1910,2488739,0.07675
02-13,"البغوي",002:002,1910,2488739,0.07675
02-13,"البغوي",002:003,1910,2488739,0.07675
02-13,"البغوي",002:004,1910,2488739,0.07675
02-13,"البغوي",002:005,1910,2488739,0.07675
02-13,"البغوي",048:026,1907,2488739,0.07663
02-13,"البغوي",048:027,1907,2488739,0.07663
02-13,"البغوي",048:028,1907,2488739,0.07663
02-13,"البغوي",048:029,1907,2488739,0.07663
02-13,"البغوي",002:100,1892,2488739,0.07602
02-13,"البغوي",002:101,1892,2488739,0.07602
02-13,"البغوي",002:102,1892,2488739,0.07602
02-13,"البغوي",002:103,1892,2488739,0.07602
02-13,"البغوي",009:024,1852,2488739,0.07442
02-13,"البغوي",009:025,1852,2488739,0.07442
02-13,"البغوي",024:007,1818,2488739,0.07305
02-13,"البغوي",046:029,1795,2488739,0.07212
02-13,"البغوي",046:030,1795,2488739,0.07212
02-13,"البغوي",046:031,1795,2488739,0.07212
02-13,"البغوي",038:034,1765,2488739,0.07092
02-13,"البغوي",038:035,1765,2488739,0.07092
02-13,"البغوي",002:226,1722,2488739,0.06919
02-13,"البغوي",002:227,1722,2488739,0.06919
02-13,"البغوي",002:228,1722,2488739,0.06919
02-13,"البغوي",009:040,1707,2488739,0.06859
02-13,"البغوي",009:059,1703,2488739,0.06843
02-13,"البغوي",009:060,1703,2488739,0.06843
02-13,"البغوي",004:102,1688,2488739,0.06783
02-13,"البغوي",002:204,1687,2488739,0.06779
02-13,"البغوي",002:205,1687,2488739,0.06779
02-13,"البغوي",002:206,1687,2488739,0.06779
02-13,"البغوي",002:207,1687,2488739,0.06779
02-13,"البغوي",002:229,1680,2488739,0.0675
02-13,"البغوي",002:230,1680,2488739,0.0675
02-13,"البغوي",002:282,1680,2488739,0.0675
02-13,"البغوي",002:283,1680,2488739,0.0675
02-13,"البغوي",003:166,1640,2488739,0.0659
02-13,"البغوي",003:167,1640,2488739,0.0659
02-13,"البغوي",003:168,1640,2488739,0.0659
02-13,"البغوي",003:169,1640,2488739,0.0659
02-13,"البغوي",003:094,1608,2488739,0.06461
02-13,"البغوي",003:095,1608,2488739,0.06461
02-13,"البغوي",003:096,1608,2488739,0.06461
02-13,"البغوي",003:097,1608,2488739,0.06461
02-13,"البغوي",105:001,1607,2488739,0.06457
02-13,"البغوي",049:002,1591,2488739,0.06393
02-13,"البغوي",049:003,1591,2488739,0.06393
02-13,"البغوي",049:004,1591,2488739,0.06393
02-13,"البغوي",002:265,1578,2488739,0.06341
02-13,"البغوي",002:266,1578,2488739,0.06341
02-13,"البغوي",002:267,1578,2488739,0.06341
02-13,"البغوي",002:255,1553,2488739,0.0624
02-13,"البغوي",002:256,1553,2488739,0.0624
02-13,"البغوي",005:006,1524,2488739,0.06124
02-13,"البغوي",028:021,1499,2488739,0.06023
02-13,"البغوي",028:022,1499,2488739,0.06023
02-13,"البغوي",028:023,1499,2488739,0.06023
02-13,"البغوي",028:024,1499,2488739,0.06023
02-13,"البغوي",028:025,1499,2488739,0.06023
02-13,"البغوي",028:026,1499,2488739,0.06023
02-13,"البغوي",028:027,1499,2488739,0.06023
02-13,"البغوي",028:028,1499,2488739,0.06023
02-13,"البغوي",085:004,1479,2488739,0.05943
02-13,"البغوي",008:005,1471,2488739,0.05911
02-13,"البغوي",008:006,1471,2488739,0.05911
02-13,"البغوي",008:007,1471,2488739,0.05911
02-13,"البغوي",006:074,1469,2488739,0.05903
02-13,"البغوي",006:075,1469,2488739,0.05903
02-13,"البغوي",006:076,1469,2488739,0.05903
02-13,"البغوي",057:026,1434,2488739,0.05762
02-13,"البغوي",057:027,1434,2488739,0.05762
02-13,"البغوي",057:028,1434,2488739,0.05762
02-13,"البغوي",057:029,1434,2488739,0.05762
02-13,"البغوي",008:039,1433,2488739,0.05758
02-13,"البغوي",008:040,1433,2488739,0.05758
02-13,"البغوي",008:041,1433,2488739,0.05758
02-13,"البغوي",007:068,1382,2488739,0.05553
02-13,"البغوي",007:069,1382,2488739,0.05553
02-13,"البغوي",007:070,1382,2488739,0.05553
02-13,"البغوي",007:071,1382,2488739,0.05553
02-13,"البغوي",007:072,1382,2488739,0.05553
02-13,"البغوي",002:034,1371,2488739,0.05509
02-13,"البغوي",002:035,1371,2488739,0.05509
02-13,"البغوي",002:036,1371,2488739,0.05509
02-13,"البغوي",002:037,1371,2488739,0.05509
02-13,"البغوي",027:020,1369,2488739,0.05501
02-13,"البغوي",027:021,1369,2488739,0.05501
02-13,"البغوي",027:022,1369,2488739,0.05501
02-13,"البغوي",027:023,1369,2488739,0.05501
02-13,"البغوي",027:024,1369,2488739,0.05501
02-13,"البغوي",019:072,1354,2488739,0.05441
02-13,"البغوي",024:031,1353,2488739,0.05436
02-13,"البغوي",063:001,1352,2488739,0.05432
02-13,"البغوي",063:002,1352,2488739,0.05432
02-13,"البغوي",063:003,1352,2488739,0.05432
02-13,"البغوي",063:004,1352,2488739,0.05432
02-13,"البغوي",063:005,1352,2488739,0.05432
02-13,"البغوي",063:006,1352,2488739,0.05432
02-13,"البغوي",002:187,1338,2488739,0.05376
02-13,"البغوي",024:034,1337,2488739,0.05372
02-13,"البغوي",024:035,1337,2488739,0.05372
02-13,"البغوي",005:003,1321,2488739,0.05308
02-13,"البغوي",097:001,1319,2488739,0.053
02-13,"البغوي",097:002,1319,2488739,0.053
02-13,"البغوي",005:024,1289,2488739,0.05179
02-13,"البغوي",005:025,1289,2488739,0.05179
02-13,"البغوي",005:026,1289,2488739,0.05179
02-13,"البغوي",002:065,1284,2488739,0.05159
02-13,"البغوي",002:066,1284,2488739,0.05159
02-13,"البغوي",002:067,1284,2488739,0.05159
02-13,"البغوي",002:068,1284,2488739,0.05159
02-13,"البغوي",002:069,1284,2488739,0.05159
02-13,"البغوي",028:005,1273,2488739,0.05115
02-13,"البغوي",028:006,1273,2488739,0.05115
02-13,"البغوي",028:007,1273,2488739,0.05115
02-13,"البغوي",028:008,1273,2488739,0.05115
02-13,"البغوي",028:009,1273,2488739,0.05115
02-13,"البغوي",004:006,1263,2488739,0.05075
02-13,"البغوي",007:173,1257,2488739,0.05051
02-13,"البغوي",007:174,1257,2488739,0.05051
02-13,"البغوي",007:175,1257,2488739,0.05051
02-13,"البغوي",066:004,1256,2488739,0.05047
02-13,"البغوي",066:005,1256,2488739,0.05047
02-13,"البغوي",002:174,1252,2488739,0.05031
02-13,"البغوي",002:175,1252,2488739,0.05031
02-13,"البغوي",002:176,1252,2488739,0.05031
02-13,"البغوي",002:177,1252,2488739,0.05031
02-13,"البغوي",004:092,1234,2488739,0.04958
02-13,"البغوي",059:006,1231,2488739,0.04946
02-13,"البغوي",059:007,1231,2488739,0.04946
02-13,"البغوي",059:008,1231,2488739,0.04946
02-13,"البغوي",040:047,1230,2488739,0.04942
02-13,"البغوي",040:048,1230,2488739,0.04942
02-13,"البغوي",040:049,1230,2488739,0.04942
02-13,"البغوي",040:050,1230,2488739,0.04942
02-13,"البغوي",040:051,1230,2488739,0.04942
02-13,"البغوي",040:052,1230,2488739,0.04942
02-13,"البغوي",040:053,1230,2488739,0.04942
02-13,"البغوي",040:054,1230,2488739,0.04942
02-13,"البغوي",040:055,1230,2488739,0.04942
02-13,"البغوي",040:056,1230,2488739,0.04942
02-13,"البغوي",040:057,1230,2488739,0.04942
02-13,"البغوي",004:023,1225,2488739,0.04922
02-13,"البغوي",002:277,1223,2488739,0.04914
02-13,"البغوي",002:278,1223,2488739,0.04914
02-13,"البغوي",002:279,1223,2488739,0.04914
02-13,"البغوي",002:280,1223,2488739,0.04914
02-13,"البغوي",002:281,1223,2488739,0.04914
02-13,"البغوي",002:275,1221,2488739,0.04906
02-13,"البغوي",002:276,1221,2488739,0.04906
02-13,"البغوي",038:024,1219,2488739,0.04898
02-13,"البغوي",065:001,1215,2488739,0.04882
02-13,"البغوي",065:002,1215,2488739,0.04882
02-13,"البغوي",065:003,1215,2488739,0.04882
02-13,"البغوي",002:247,1204,2488739,0.04838
