author_id,author_name,passage,words_spent,author_wordcount,percentage
02-18,"الخازن",017:001,4845,4037028,0.12001
02-18,"الخازن",110:001,4181,4037028,0.10357
02-18,"الخازن",110:002,4181,4037028,0.10357
02-18,"الخازن",110:003,4181,4037028,0.10357
02-18,"الخازن",004:043,3970,4037028,0.09834
02-18,"الخازن",048:021,3887,4037028,0.09628
02-18,"الخازن",048:022,3887,4037028,0.09628
02-18,"الخازن",048:023,3887,4037028,0.09628
02-18,"الخازن",048:024,3887,4037028,0.09628
02-18,"الخازن",018:002,3830,4037028,0.09487
02-18,"الخازن",018:003,3830,4037028,0.09487
02-18,"الخازن",018:004,3830,4037028,0.09487
02-18,"الخازن",018:005,3830,4037028,0.09487
02-18,"الخازن",018:006,3830,4037028,0.09487
02-18,"الخازن",018:007,3830,4037028,0.09487
02-18,"الخازن",018:008,3830,4037028,0.09487
02-18,"الخازن",018:009,3830,4037028,0.09487
02-18,"الخازن",018:010,3830,4037028,0.09487
02-18,"الخازن",009:038,3694,4037028,0.0915
02-18,"الخازن",009:039,3694,4037028,0.0915
02-18,"الخازن",009:040,3694,4037028,0.0915
02-18,"الخازن",033:007,3679,4037028,0.09113
02-18,"الخازن",033:008,3679,4037028,0.09113
02-18,"الخازن",033:009,3679,4037028,0.09113
02-18,"الخازن",017:002,3671,4037028,0.09093
02-18,"الخازن",017:003,3671,4037028,0.09093
02-18,"الخازن",017:004,3671,4037028,0.09093
02-18,"الخازن",017:005,3671,4037028,0.09093
02-18,"الخازن",017:006,3671,4037028,0.09093
02-18,"الخازن",017:007,3671,4037028,0.09093
02-18,"الخازن",009:118,3356,4037028,0.08313
02-18,"الخازن",009:119,3356,4037028,0.08313
02-18,"الخازن",009:120,3356,4037028,0.08313
02-18,"الخازن",033:027,3243,4037028,0.08033
02-18,"الخازن",033:028,3243,4037028,0.08033
02-18,"الخازن",033:029,3243,4037028,0.08033
02-18,"الخازن",021:082,3101,4037028,0.07681
02-18,"الخازن",021:083,3101,4037028,0.07681
02-18,"الخازن",002:196,3027,4037028,0.07498
02-18,"الخازن",005:006,2842,4037028,0.0704
02-18,"الخازن",004:011,2822,4037028,0.0699
02-18,"الخازن",009:059,2751,4037028,0.06814
02-18,"الخازن",009:060,2751,4037028,0.06814
02-18,"الخازن",003:103,2627,4037028,0.06507
02-18,"الخازن",016:106,2563,4037028,0.06349
02-18,"الخازن",016:107,2563,4037028,0.06349
02-18,"الخازن",016:108,2563,4037028,0.06349
02-18,"الخازن",016:109,2563,4037028,0.06349
02-18,"الخازن",016:110,2563,4037028,0.06349
02-18,"الخازن",016:111,2563,4037028,0.06349
02-18,"الخازن",016:112,2563,4037028,0.06349
02-18,"الخازن",016:113,2563,4037028,0.06349
02-18,"الخازن",016:114,2563,4037028,0.06349
02-18,"الخازن",016:115,2563,4037028,0.06349
02-18,"الخازن",016:116,2563,4037028,0.06349
02-18,"الخازن",016:117,2563,4037028,0.06349
02-18,"الخازن",108:001,2535,4037028,0.06279
02-18,"الخازن",108:002,2535,4037028,0.06279
02-18,"الخازن",108:003,2535,4037028,0.06279
02-18,"الخازن",002:219,2513,4037028,0.06225
02-18,"الخازن",003:166,2435,4037028,0.06032
02-18,"الخازن",003:167,2435,4037028,0.06032
02-18,"الخازن",003:168,2435,4037028,0.06032
02-18,"الخازن",003:169,2435,4037028,0.06032
02-18,"الخازن",002:101,2431,4037028,0.06022
02-18,"الخازن",002:102,2431,4037028,0.06022
02-18,"الخازن",024:010,2397,4037028,0.05938
02-18,"الخازن",024:011,2397,4037028,0.05938
02-18,"الخازن",007:054,2377,4037028,0.05888
02-18,"الخازن",005:023,2371,4037028,0.05873
02-18,"الخازن",005:024,2371,4037028,0.05873
02-18,"الخازن",005:025,2371,4037028,0.05873
02-18,"الخازن",005:026,2371,4037028,0.05873
02-18,"الخازن",002:259,2359,4037028,0.05843
02-18,"الخازن",038:024,2307,4037028,0.05715
02-18,"الخازن",038:025,2307,4037028,0.05715
02-18,"الخازن",005:003,2304,4037028,0.05707
02-18,"الخازن",007:078,2289,4037028,0.0567
02-18,"الخازن",007:079,2289,4037028,0.0567
02-18,"الخازن",013:014,2283,4037028,0.05655
02-18,"الخازن",013:015,2283,4037028,0.05655
02-18,"الخازن",013:016,2283,4037028,0.05655
02-18,"الخازن",013:017,2283,4037028,0.05655
02-18,"الخازن",006:074,2263,4037028,0.05606
02-18,"الخازن",006:075,2263,4037028,0.05606
02-18,"الخازن",006:076,2263,4037028,0.05606
02-18,"الخازن",014:032,2220,4037028,0.05499
02-18,"الخازن",014:033,2220,4037028,0.05499
02-18,"الخازن",014:034,2220,4037028,0.05499
02-18,"الخازن",014:035,2220,4037028,0.05499
02-18,"الخازن",014:036,2220,4037028,0.05499
02-18,"الخازن",014:037,2220,4037028,0.05499
02-18,"الخازن",068:032,2208,4037028,0.05469
02-18,"الخازن",068:033,2208,4037028,0.05469
02-18,"الخازن",068:034,2208,4037028,0.05469
02-18,"الخازن",068:035,2208,4037028,0.05469
02-18,"الخازن",068:036,2208,4037028,0.05469
02-18,"الخازن",068:037,2208,4037028,0.05469
02-18,"الخازن",068:038,2208,4037028,0.05469
02-18,"الخازن",068:039,2208,4037028,0.05469
02-18,"الخازن",068:040,2208,4037028,0.05469
02-18,"الخازن",068:041,2208,4037028,0.05469
02-18,"الخازن",068:042,2208,4037028,0.05469
02-18,"الخازن",007:141,2183,4037028,0.05407
02-18,"الخازن",007:142,2183,4037028,0.05407
02-18,"الخازن",007:143,2183,4037028,0.05407
02-18,"الخازن",007:170,2170,4037028,0.05375
02-18,"الخازن",007:171,2170,4037028,0.05375
02-18,"الخازن",007:172,2170,4037028,0.05375
02-18,"الخازن",002:001,2164,4037028,0.0536
02-18,"الخازن",002:002,2164,4037028,0.0536
02-18,"الخازن",002:003,2164,4037028,0.0536
02-18,"الخازن",009:024,2148,4037028,0.05321
02-18,"الخازن",009:025,2148,4037028,0.05321
02-18,"الخازن",062:009,2117,4037028,0.05244
02-18,"الخازن",002:251,2064,4037028,0.05113
02-18,"الخازن",014:023,2018,4037028,0.04999
02-18,"الخازن",014:024,2018,4037028,0.04999
02-18,"الخازن",014:025,2018,4037028,0.04999
02-18,"الخازن",014:026,2018,4037028,0.04999
02-18,"الخازن",014:027,2018,4037028,0.04999
02-18,"الخازن",024:004,1998,4037028,0.04949
02-18,"الخازن",024:005,1998,4037028,0.04949
02-18,"الخازن",024:006,1998,4037028,0.04949
02-18,"الخازن",024:007,1998,4037028,0.04949
02-18,"الخازن",014:003,1991,4037028,0.04932
02-18,"الخازن",014:004,1991,4037028,0.04932
02-18,"الخازن",014:005,1991,4037028,0.04932
02-18,"الخازن",014:006,1991,4037028,0.04932
02-18,"الخازن",014:007,1991,4037028,0.04932
02-18,"الخازن",014:008,1991,4037028,0.04932
02-18,"الخازن",014:009,1991,4037028,0.04932
02-18,"الخازن",014:010,1991,4037028,0.04932
02-18,"الخازن",014:011,1991,4037028,0.04932
02-18,"الخازن",014:012,1991,4037028,0.04932
02-18,"الخازن",014:013,1991,4037028,0.04932
02-18,"الخازن",014:014,1991,4037028,0.04932
02-18,"الخازن",016:039,1986,4037028,0.04919
02-18,"الخازن",016:040,1986,4037028,0.04919
02-18,"الخازن",016:041,1986,4037028,0.04919
02-18,"الخازن",016:042,1986,4037028,0.04919
