author_id,author_name,passage,words_spent,author_wordcount,percentage
01-08,"المحلي و السيوطي",002:282,359,192557,0.18644
01-08,"المحلي و السيوطي",002:196,321,192557,0.1667
01-08,"المحلي و السيوطي",024:011,287,192557,0.14905
01-08,"المحلي و السيوطي",002:102,276,192557,0.14333
01-08,"المحلي و السيوطي",005:107,272,192557,0.14126
01-08,"المحلي و السيوطي",004:011,262,192557,0.13606
01-08,"المحلي و السيوطي",073:020,235,192557,0.12204
01-08,"المحلي و السيوطي",005:095,226,192557,0.11737
01-08,"المحلي و السيوطي",004:092,212,192557,0.1101
01-08,"المحلي و السيوطي",004:025,207,192557,0.1075
01-08,"المحلي و السيوطي",024:031,207,192557,0.1075
01-08,"المحلي و السيوطي",005:003,203,192557,0.10542
01-08,"المحلي و السيوطي",017:110,199,192557,0.10335
01-08,"المحلي و السيوطي",002:187,194,192557,0.10075
01-08,"المحلي و السيوطي",003:154,194,192557,0.10075
01-08,"المحلي و السيوطي",004:012,194,192557,0.10075
01-08,"المحلي و السيوطي",002:178,193,192557,0.10023
01-08,"المحلي و السيوطي",004:023,192,192557,0.09971
01-08,"المحلي و السيوطي",005:006,189,192557,0.09815
01-08,"المحلي و السيوطي",002:259,185,192557,0.09608
01-08,"المحلي و السيوطي",009:060,177,192557,0.09192
01-08,"المحلي و السيوطي",003:049,176,192557,0.0914
01-08,"المحلي و السيوطي",004:043,174,192557,0.09036
01-08,"المحلي و السيوطي",048:029,174,192557,0.09036
01-08,"المحلي و السيوطي",002:286,169,192557,0.08777
01-08,"المحلي و السيوطي",018:065,165,192557,0.08569
01-08,"المحلي و السيوطي",002:228,162,192557,0.08413
01-08,"المحلي و السيوطي",002:233,162,192557,0.08413
01-08,"المحلي و السيوطي",002:217,160,192557,0.08309
01-08,"المحلي و السيوطي",003:037,160,192557,0.08309
01-08,"المحلي و السيوطي",002:143,158,192557,0.08205
01-08,"المحلي و السيوطي",024:061,158,192557,0.08205
01-08,"المحلي و السيوطي",002:184,157,192557,0.08153
01-08,"المحلي و السيوطي",002:085,156,192557,0.08101
01-08,"المحلي و السيوطي",004:102,156,192557,0.08101
01-08,"المحلي و السيوطي",005:089,155,192557,0.0805
01-08,"المحلي و السيوطي",046:015,154,192557,0.07998
01-08,"المحلي و السيوطي",005:041,151,192557,0.07842
01-08,"المحلي و السيوطي",003:009,150,192557,0.0779
01-08,"المحلي و السيوطي",023:027,149,192557,0.07738
01-08,"المحلي و السيوطي",022:005,147,192557,0.07634
01-08,"المحلي و السيوطي",009:040,146,192557,0.07582
01-08,"المحلي و السيوطي",009:108,146,192557,0.07582
01-08,"المحلي و السيوطي",013:031,145,192557,0.0753
01-08,"المحلي و السيوطي",047:004,145,192557,0.0753
01-08,"المحلي و السيوطي",060:004,144,192557,0.07478
01-08,"المحلي و السيوطي",024:035,141,192557,0.07323
01-08,"المحلي و السيوطي",005:002,140,192557,0.07271
01-08,"المحلي و السيوطي",060:010,140,192557,0.07271
01-08,"المحلي و السيوطي",033:004,139,192557,0.07219
01-08,"المحلي و السيوطي",002:249,138,192557,0.07167
01-08,"المحلي و السيوطي",024:058,138,192557,0.07167
01-08,"المحلي و السيوطي",002:030,137,192557,0.07115
01-08,"المحلي و السيوطي",047:015,137,192557,0.07115
01-08,"المحلي و السيوطي",060:001,135,192557,0.07011
01-08,"المحلي و السيوطي",002:025,134,192557,0.06959
01-08,"المحلي و السيوطي",002:158,134,192557,0.06959
01-08,"المحلي و السيوطي",005:064,134,192557,0.06959
01-08,"المحلي و السيوطي",074:031,134,192557,0.06959
01-08,"المحلي و السيوطي",004:176,133,192557,0.06907
01-08,"المحلي و السيوطي",033:050,131,192557,0.06803
01-08,"المحلي و السيوطي",004:128,130,192557,0.06751
01-08,"المحلي و السيوطي",003:007,128,192557,0.06647
01-08,"المحلي و السيوطي",005:026,128,192557,0.06647
01-08,"المحلي و السيوطي",006:099,128,192557,0.06647
01-08,"المحلي و السيوطي",016:092,128,192557,0.06647
01-08,"المحلي و السيوطي",024:033,128,192557,0.06647
01-08,"المحلي و السيوطي",027:040,128,192557,0.06647
01-08,"المحلي و السيوطي",028:025,128,192557,0.06647
01-08,"المحلي و السيوطي",005:033,127,192557,0.06595
01-08,"المحلي و السيوطي",002:061,126,192557,0.06544
01-08,"المحلي و السيوطي",005:004,126,192557,0.06544
01-08,"المحلي و السيوطي",027:044,126,192557,0.06544
01-08,"المحلي و السيوطي",004:058,125,192557,0.06492
01-08,"المحلي و السيوطي",002:173,124,192557,0.0644
01-08,"المحلي و السيوطي",002:229,124,192557,0.0644
01-08,"المحلي و السيوطي",002:255,124,192557,0.0644
01-08,"المحلي و السيوطي",003:061,124,192557,0.0644
01-08,"المحلي و السيوطي",004:094,124,192557,0.0644
01-08,"المحلي و السيوطي",002:165,122,192557,0.06336
01-08,"المحلي و السيوطي",003:152,122,192557,0.06336
01-08,"المحلي و السيوطي",004:019,121,192557,0.06284
01-08,"المحلي و السيوطي",002:246,120,192557,0.06232
01-08,"المحلي و السيوطي",013:017,120,192557,0.06232
01-08,"المحلي و السيوطي",018:022,120,192557,0.06232
01-08,"المحلي و السيوطي",033:037,120,192557,0.06232
01-08,"المحلي و السيوطي",004:024,118,192557,0.06128
01-08,"المحلي و السيوطي",004:077,118,192557,0.06128
01-08,"المحلي و السيوطي",008:041,118,192557,0.06128
01-08,"المحلي و السيوطي",012:100,118,192557,0.06128
01-08,"المحلي و السيوطي",004:171,117,192557,0.06076
01-08,"المحلي و السيوطي",002:185,116,192557,0.06024
01-08,"المحلي و السيوطي",007:143,116,192557,0.06024
01-08,"المحلي و السيوطي",048:025,116,192557,0.06024
01-08,"المحلي و السيوطي",002:253,115,192557,0.05972
01-08,"المحلي و السيوطي",004:093,115,192557,0.05972
01-08,"المحلي و السيوطي",007:155,115,192557,0.05972
01-08,"المحلي و السيوطي",002:026,114,192557,0.0592
01-08,"المحلي و السيوطي",002:248,114,192557,0.0592
01-08,"المحلي و السيوطي",003:073,114,192557,0.0592
01-08,"المحلي و السيوطي",004:006,114,192557,0.0592
01-08,"المحلي و السيوطي",005:106,114,192557,0.0592
01-08,"المحلي و السيوطي",022:052,113,192557,0.05868
01-08,"المحلي و السيوطي",008:005,112,192557,0.05816
01-08,"المحلي و السيوطي",006:091,111,192557,0.05765
01-08,"المحلي و السيوطي",005:103,110,192557,0.05713
01-08,"المحلي و السيوطي",005:110,110,192557,0.05713
01-08,"المحلي و السيوطي",033:053,110,192557,0.05713
01-08,"المحلي و السيوطي",002:235,109,192557,0.05661
01-08,"المحلي و السيوطي",046:035,109,192557,0.05661
01-08,"المحلي و السيوطي",059:007,109,192557,0.05661
01-08,"المحلي و السيوطي",002:177,108,192557,0.05609
01-08,"المحلي و السيوطي",002:243,108,192557,0.05609
