author_id,author_name,passage,words_spent,author_wordcount,percentage
02-17,"النسفي",002:177,2623,4599130,0.05703
02-17,"النسفي",002:178,2623,4599130,0.05703
02-17,"النسفي",002:179,2623,4599130,0.05703
02-17,"النسفي",002:180,2623,4599130,0.05703
02-17,"النسفي",002:181,2623,4599130,0.05703
02-17,"النسفي",002:182,2623,4599130,0.05703
02-17,"النسفي",002:183,2623,4599130,0.05703
02-17,"النسفي",002:184,2623,4599130,0.05703
02-17,"النسفي",002:185,2623,4599130,0.05703
02-17,"النسفي",002:186,2623,4599130,0.05703
02-17,"النسفي",002:187,2623,4599130,0.05703
02-17,"النسفي",002:188,2623,4599130,0.05703
02-17,"النسفي",003:123,2574,4599130,0.05597
02-17,"النسفي",003:124,2574,4599130,0.05597
02-17,"النسفي",003:125,2574,4599130,0.05597
02-17,"النسفي",003:126,2574,4599130,0.05597
02-17,"النسفي",003:127,2574,4599130,0.05597
02-17,"النسفي",003:128,2574,4599130,0.05597
02-17,"النسفي",003:129,2574,4599130,0.05597
02-17,"النسفي",003:130,2574,4599130,0.05597
02-17,"النسفي",003:131,2574,4599130,0.05597
02-17,"النسفي",003:132,2574,4599130,0.05597
02-17,"النسفي",003:133,2574,4599130,0.05597
02-17,"النسفي",003:134,2574,4599130,0.05597
02-17,"النسفي",003:135,2574,4599130,0.05597
02-17,"النسفي",003:136,2574,4599130,0.05597
02-17,"النسفي",003:137,2574,4599130,0.05597
02-17,"النسفي",003:138,2574,4599130,0.05597
02-17,"النسفي",003:139,2574,4599130,0.05597
02-17,"النسفي",003:140,2574,4599130,0.05597
02-17,"النسفي",003:141,2574,4599130,0.05597
02-17,"النسفي",003:142,2574,4599130,0.05597
02-17,"النسفي",003:143,2574,4599130,0.05597
02-17,"النسفي",003:144,2574,4599130,0.05597
02-17,"النسفي",003:145,2574,4599130,0.05597
02-17,"النسفي",003:146,2574,4599130,0.05597
02-17,"النسفي",003:147,2574,4599130,0.05597
02-17,"النسفي",002:001,2499,4599130,0.05434
02-17,"النسفي",002:002,2499,4599130,0.05434
02-17,"النسفي",002:003,2499,4599130,0.05434
02-17,"النسفي",002:004,2499,4599130,0.05434
02-17,"النسفي",002:005,2499,4599130,0.05434
02-17,"النسفي",003:021,2356,4599130,0.05123
02-17,"النسفي",003:022,2356,4599130,0.05123
02-17,"النسفي",003:023,2356,4599130,0.05123
02-17,"النسفي",003:024,2356,4599130,0.05123
02-17,"النسفي",003:025,2356,4599130,0.05123
02-17,"النسفي",003:026,2356,4599130,0.05123
02-17,"النسفي",003:027,2356,4599130,0.05123
02-17,"النسفي",003:028,2356,4599130,0.05123
02-17,"النسفي",003:029,2356,4599130,0.05123
02-17,"النسفي",003:030,2356,4599130,0.05123
02-17,"النسفي",003:031,2356,4599130,0.05123
02-17,"النسفي",003:032,2356,4599130,0.05123
02-17,"النسفي",003:033,2356,4599130,0.05123
02-17,"النسفي",003:034,2356,4599130,0.05123
02-17,"النسفي",003:035,2356,4599130,0.05123
02-17,"النسفي",003:036,2356,4599130,0.05123
02-17,"النسفي",003:037,2356,4599130,0.05123
02-17,"النسفي",003:038,2356,4599130,0.05123
02-17,"النسفي",003:039,2356,4599130,0.05123
02-17,"النسفي",003:040,2356,4599130,0.05123
02-17,"النسفي",002:189,2328,4599130,0.05062
02-17,"النسفي",002:190,2328,4599130,0.05062
02-17,"النسفي",002:191,2328,4599130,0.05062
02-17,"النسفي",002:192,2328,4599130,0.05062
02-17,"النسفي",002:193,2328,4599130,0.05062
02-17,"النسفي",002:194,2328,4599130,0.05062
02-17,"النسفي",002:195,2328,4599130,0.05062
02-17,"النسفي",002:196,2328,4599130,0.05062
