author_id,author_name,passage,words_spent,author_wordcount,percentage
02-11,"السمرقندي",005:001,2260,3021116,0.07481
02-11,"السمرقندي",005:002,2260,3021116,0.07481
02-11,"السمرقندي",005:003,2260,3021116,0.07481
02-11,"السمرقندي",008:005,2101,3021116,0.06954
02-11,"السمرقندي",008:006,2101,3021116,0.06954
02-11,"السمرقندي",008:007,2101,3021116,0.06954
02-11,"السمرقندي",008:008,2101,3021116,0.06954
02-11,"السمرقندي",020:037,2094,3021116,0.06931
02-11,"السمرقندي",020:038,2094,3021116,0.06931
02-11,"السمرقندي",020:039,2094,3021116,0.06931
02-11,"السمرقندي",020:040,2094,3021116,0.06931
02-11,"السمرقندي",002:196,1805,3021116,0.05975
02-11,"السمرقندي",002:197,1805,3021116,0.05975
02-11,"السمرقندي",002:198,1805,3021116,0.05975
02-11,"السمرقندي",002:199,1805,3021116,0.05975
02-11,"السمرقندي",002:200,1805,3021116,0.05975
02-11,"السمرقندي",002:201,1805,3021116,0.05975
02-11,"السمرقندي",002:202,1805,3021116,0.05975
02-11,"السمرقندي",001:001,1791,3021116,0.05928
02-11,"السمرقندي",001:002,1791,3021116,0.05928
02-11,"السمرقندي",001:003,1791,3021116,0.05928
02-11,"السمرقندي",001:004,1791,3021116,0.05928
02-11,"السمرقندي",001:005,1791,3021116,0.05928
02-11,"السمرقندي",001:006,1791,3021116,0.05928
02-11,"السمرقندي",001:007,1791,3021116,0.05928
02-11,"السمرقندي",003:138,1782,3021116,0.05898
02-11,"السمرقندي",003:139,1782,3021116,0.05898
02-11,"السمرقندي",003:140,1782,3021116,0.05898
02-11,"السمرقندي",002:183,1771,3021116,0.05862
02-11,"السمرقندي",002:184,1771,3021116,0.05862
02-11,"السمرقندي",002:185,1771,3021116,0.05862
02-11,"السمرقندي",002:186,1771,3021116,0.05862
02-11,"السمرقندي",002:187,1771,3021116,0.05862
02-11,"السمرقندي",105:001,1754,3021116,0.05806
02-11,"السمرقندي",105:002,1754,3021116,0.05806
02-11,"السمرقندي",105:003,1754,3021116,0.05806
02-11,"السمرقندي",105:004,1754,3021116,0.05806
02-11,"السمرقندي",105:005,1754,3021116,0.05806
02-11,"السمرقندي",002:246,1734,3021116,0.0574
02-11,"السمرقندي",002:247,1734,3021116,0.0574
02-11,"السمرقندي",002:248,1734,3021116,0.0574
02-11,"السمرقندي",002:249,1734,3021116,0.0574
02-11,"السمرقندي",002:250,1734,3021116,0.0574
02-11,"السمرقندي",002:251,1734,3021116,0.0574
02-11,"السمرقندي",002:252,1734,3021116,0.0574
02-11,"السمرقندي",033:023,1626,3021116,0.05382
02-11,"السمرقندي",033:024,1626,3021116,0.05382
02-11,"السمرقندي",033:025,1626,3021116,0.05382
02-11,"السمرقندي",033:026,1626,3021116,0.05382
02-11,"السمرقندي",033:027,1626,3021116,0.05382
02-11,"السمرقندي",024:030,1559,3021116,0.0516
02-11,"السمرقندي",024:031,1559,3021116,0.0516
02-11,"السمرقندي",024:032,1559,3021116,0.0516
02-11,"السمرقندي",024:033,1559,3021116,0.0516
02-11,"السمرقندي",024:034,1559,3021116,0.0516
02-11,"السمرقندي",028:076,1548,3021116,0.05124
02-11,"السمرقندي",028:077,1548,3021116,0.05124
02-11,"السمرقندي",028:078,1548,3021116,0.05124
02-11,"السمرقندي",028:079,1548,3021116,0.05124
02-11,"السمرقندي",028:080,1548,3021116,0.05124
02-11,"السمرقندي",028:081,1548,3021116,0.05124
02-11,"السمرقندي",028:082,1548,3021116,0.05124
02-11,"السمرقندي",007:171,1511,3021116,0.05001
02-11,"السمرقندي",007:172,1511,3021116,0.05001
02-11,"السمرقندي",007:173,1511,3021116,0.05001
02-11,"السمرقندي",007:174,1511,3021116,0.05001
02-11,"السمرقندي",048:004,1508,3021116,0.04992
02-11,"السمرقندي",031:012,1482,3021116,0.04905
02-11,"السمرقندي",031:013,1482,3021116,0.04905
02-11,"السمرقندي",031:014,1482,3021116,0.04905
02-11,"السمرقندي",031:015,1482,3021116,0.04905
02-11,"السمرقندي",031:016,1482,3021116,0.04905
02-11,"السمرقندي",031:017,1482,3021116,0.04905
02-11,"السمرقندي",031:018,1482,3021116,0.04905
02-11,"السمرقندي",031:019,1482,3021116,0.04905
02-11,"السمرقندي",031:020,1482,3021116,0.04905
02-11,"السمرقندي",003:044,1441,3021116,0.0477
02-11,"السمرقندي",003:045,1441,3021116,0.0477
02-11,"السمرقندي",003:046,1441,3021116,0.0477
02-11,"السمرقندي",003:047,1441,3021116,0.0477
