author_id,author_name,passage,words_spent,author_wordcount,percentage
01-02,"الزمخشري",002:001,2558,1850423,0.13824
01-02,"الزمخشري",002:026,2529,1850423,0.13667
01-02,"الزمخشري",002:027,2529,1850423,0.13667
01-02,"الزمخشري",002:011,2375,1850423,0.12835
01-02,"الزمخشري",002:012,2375,1850423,0.12835
01-02,"الزمخشري",002:013,2375,1850423,0.12835
01-02,"الزمخشري",002:014,2375,1850423,0.12835
01-02,"الزمخشري",002:015,2375,1850423,0.12835
01-02,"الزمخشري",002:016,2375,1850423,0.12835
01-02,"الزمخشري",002:019,1947,1850423,0.10522
01-02,"الزمخشري",002:020,1947,1850423,0.10522
01-02,"الزمخشري",002:008,1926,1850423,0.10408
01-02,"الزمخشري",002:009,1926,1850423,0.10408
01-02,"الزمخشري",002:010,1926,1850423,0.10408
01-02,"الزمخشري",028:023,1897,1850423,0.10252
01-02,"الزمخشري",028:024,1897,1850423,0.10252
01-02,"الزمخشري",028:025,1897,1850423,0.10252
01-02,"الزمخشري",028:026,1897,1850423,0.10252
01-02,"الزمخشري",028:027,1897,1850423,0.10252
01-02,"الزمخشري",028:028,1897,1850423,0.10252
01-02,"الزمخشري",002:025,1759,1850423,0.09506
01-02,"الزمخشري",002:067,1605,1850423,0.08674
01-02,"الزمخشري",002:068,1605,1850423,0.08674
01-02,"الزمخشري",002:069,1605,1850423,0.08674
01-02,"الزمخشري",002:070,1605,1850423,0.08674
01-02,"الزمخشري",002:071,1605,1850423,0.08674
01-02,"الزمخشري",002:072,1605,1850423,0.08674
01-02,"الزمخشري",002:073,1605,1850423,0.08674
01-02,"الزمخشري",002:282,1510,1850423,0.0816
01-02,"الزمخشري",002:283,1510,1850423,0.0816
01-02,"الزمخشري",002:017,1466,1850423,0.07923
01-02,"الزمخشري",002:018,1466,1850423,0.07923
01-02,"الزمخشري",004:153,1361,1850423,0.07355
01-02,"الزمخشري",004:154,1361,1850423,0.07355
01-02,"الزمخشري",004:155,1361,1850423,0.07355
01-02,"الزمخشري",004:156,1361,1850423,0.07355
01-02,"الزمخشري",004:157,1361,1850423,0.07355
01-02,"الزمخشري",004:158,1361,1850423,0.07355
01-02,"الزمخشري",004:159,1361,1850423,0.07355
01-02,"الزمخشري",004:011,1344,1850423,0.07263
01-02,"الزمخشري",003:033,1312,1850423,0.0709
01-02,"الزمخشري",003:034,1312,1850423,0.0709
01-02,"الزمخشري",003:035,1312,1850423,0.0709
01-02,"الزمخشري",003:036,1312,1850423,0.0709
01-02,"الزمخشري",003:037,1312,1850423,0.0709
01-02,"الزمخشري",076:011,1294,1850423,0.06993
01-02,"الزمخشري",076:012,1294,1850423,0.06993
01-02,"الزمخشري",076:013,1294,1850423,0.06993
01-02,"الزمخشري",076:014,1294,1850423,0.06993
01-02,"الزمخشري",076:015,1294,1850423,0.06993
01-02,"الزمخشري",076:016,1294,1850423,0.06993
01-02,"الزمخشري",076:017,1294,1850423,0.06993
01-02,"الزمخشري",076:018,1294,1850423,0.06993
01-02,"الزمخشري",076:019,1294,1850423,0.06993
01-02,"الزمخشري",076:020,1294,1850423,0.06993
01-02,"الزمخشري",076:021,1294,1850423,0.06993
01-02,"الزمخشري",076:022,1294,1850423,0.06993
01-02,"الزمخشري",002:002,1239,1850423,0.06696
01-02,"الزمخشري",003:096,1231,1850423,0.06653
01-02,"الزمخشري",003:097,1231,1850423,0.06653
01-02,"الزمخشري",002:023,1217,1850423,0.06577
01-02,"الزمخشري",037:103,1211,1850423,0.06544
01-02,"الزمخشري",037:104,1211,1850423,0.06544
01-02,"الزمخشري",037:105,1211,1850423,0.06544
01-02,"الزمخشري",037:106,1211,1850423,0.06544
01-02,"الزمخشري",037:107,1211,1850423,0.06544
01-02,"الزمخشري",037:108,1211,1850423,0.06544
01-02,"الزمخشري",037:109,1211,1850423,0.06544
01-02,"الزمخشري",037:110,1211,1850423,0.06544
01-02,"الزمخشري",037:111,1211,1850423,0.06544
01-02,"الزمخشري",002:177,1206,1850423,0.06517
01-02,"الزمخشري",002:178,1206,1850423,0.06517
01-02,"الزمخشري",002:179,1206,1850423,0.06517
01-02,"الزمخشري",003:152,1189,1850423,0.06426
01-02,"الزمخشري",003:153,1189,1850423,0.06426
