author_id,author_name,text_hash,words,sura,aaya
01-01,"الطبري",08de9bf6bfa7b536bbeb6743390afefd,4278,2,259
01-01,"الطبري",1b1150010b1b3c7c00edd7ba27b9e2a5,3999,2,30
01-01,"الطبري",c96055063dd3278bd6dfb5fe965fea4d,3993,24,11
01-01,"الطبري",692325d887592faa563698ab429eff01,3987,2,1
01-01,"الطبري",7229a0b8bcf90211989b590b732cb5ca,3984,2,102
01-01,"الطبري",87d7e69d15c2efab0e26d661b0c25044,3978,17,4
01-01,"الطبري",16adc15098800d9dd77e95543d9a659d,3974,17,7
01-01,"الطبري",7a4083bb72ff5c257ccd527b88c2d5c8,3972,21,83
01-01,"الطبري",d37ff6c1c5a32afe1793ebcf3683650b,3971,5,107
01-01,"الطبري",8bb7600b5ebe87072b960344086ca34c,3946,1,1
01-01,"الطبري",bd7600a08b7d66d0e1e79cb3b78036be,3946,2,251
01-01,"الطبري",7a065d163f73fbf73cbafeb8b7e1b66b,3940,2,20
01-01,"الطبري",f1b4228692451731d9ad776c1669dba0,3939,18,19
01-01,"الطبري",e049b7bcf15e374e05adc0817cfd66fa,3928,2,184
01-01,"الطبري",58b75125224a2c37efd44187a0257218,3926,2,198
01-01,"الطبري",b63f9fb363da645b441798dce8a45ae7,3925,2,203
01-01,"الطبري",b724fb73a4c1eb8a367c99191a16da52,3923,2,217
01-01,"الطبري",3a2f885a5ba111b873ab23d6985f9a03,3923,5,95
01-01,"الطبري",2d987b490c94bcbab16e719b848a4109,3922,5,33
01-01,"الطبري",63d60377b2250abc5a0962ce1b6d7d12,3920,9,1
01-01,"الطبري",5f37e4dfd98178b88f580c04fc6dc6d4,3914,4,31
01-01,"الطبري",7db9ee494ae1c2a0540a2eb196763a68,3912,2,226
01-01,"الطبري",b8bdbaa13acc708e2d1c62331d992660,3904,4,102
01-01,"الطبري",114115281a6c2ff83f6aa7a50135b716,3903,2,235
01-01,"الطبري",5b923e2532bb141b848aa419c2217271,3902,2,225
01-01,"الطبري",ee29144961831541a0a2a30ce137427d,3902,12,24
01-01,"الطبري",065c7226a74d25f4ed3f2d7dd4bebc95,3900,5,3
01-01,"الطبري",ea93b41a1e4c2f8395b9e5ac7392b508,3900,5,4
01-01,"الطبري",af128160491a77818d6c5fd66ba69984,3898,5,106
01-01,"الطبري",2f6446a6748dc675f9802e8506f417f5,3897,2,248
01-01,"الطبري",fa4f8bceea0fb901936b4e299cbf0a3c,3896,5,2
01-01,"الطبري",9621b45b7c8a82a00b057f36d9836c32,3896,17,1
01-01,"الطبري",05d31440b3c28e55638b2f0740aa607d,3895,2,236
01-01,"الطبري",ba1133a946c6ba347817219d2e6ac605,3894,2,233
