author_id,author_name,text_hash,words,sura,aaya
02-17,"النسفي",4e402a66158889ba9ee42e2f49946276,2623,2,177
02-17,"النسفي",e91e1ac5d06e6aeb881749ff6c822338,2574,3,123
02-17,"النسفي",2aaba4769ccd0d2f24c287e716a0e354,2499,2,1
02-17,"النسفي",701954031a99b248ebdd188db4f57b96,2356,3,21
02-17,"النسفي",be9fa790d6a727044cb29cfc4e36d668,2328,2,189
02-17,"النسفي",5cb13b9f55a5a0c3dd2584dbf2edb792,2269,2,258
02-17,"النسفي",bf7d1da83a9d3bce2c2d24bae8496825,2207,2,25
02-17,"النسفي",fbe4fc6e82962f0fd9642c2721b4a355,2182,4,24
02-17,"النسفي",b92ac73a8580f863278b191f83e4ba2d,2058,2,20
02-17,"النسفي",75f6763874b933a41c222f2d00568e3e,2055,1,1
02-17,"النسفي",444c60af12ec3d0ee34d2b48bc6247b8,1924,3,83
02-17,"النسفي",95137038a9cff3d13c4a9630c023e269,1881,2,272
02-17,"النسفي",8ec8d4e4cdf0821d3652254b12eef0f1,1856,2,233
02-17,"النسفي",de90b0e831ed0776cce29563fe573f98,1831,4,5
02-17,"النسفي",4072192c652e93bad5a840304ee14ae0,1724,7,140
02-17,"النسفي",8a75ec998e8849283160f3e8f6210e6f,1691,5,87
02-17,"النسفي",2b274dc442edc368f9e70129c35e0575,1600,4,47
02-17,"النسفي",9a6405a7bf542756f8a2af32eadc8f7e,1590,2,6
02-17,"النسفي",4708c668ef0d4e71b7e60dd23cdb3c7f,1586,4,36
02-17,"النسفي",c82e5ad75e838c2bb0a233c1d2897a18,1556,2,241
02-17,"النسفي",a7041c683410f0aeb22abe78964d2665,1548,38,1
02-17,"النسفي",2c0e05a0df41152ea6c0929b3e7abb77,1538,5,66
02-17,"النسفي",dde27f3a1da293ef09c4a8b309364120,1511,2,17
02-17,"النسفي",c5e765da73e3fd26eac7d37822bc7c3c,1509,3,157
02-17,"النسفي",23a6c45833da5f626913c662b7e8a07d,1507,49,2
02-17,"النسفي",22a2da642d62ef4ee3497ccb1bc24e96,1497,59,1
02-17,"النسفي",53e3233b975116ef42e9720035ad44a3,1487,2,125
02-17,"النسفي",26bd4e2f900a6e138a3d0cc097835483,1465,6,93
02-17,"النسفي",303836f001676fd4b8dde8244181aea5,1450,7,72
02-17,"النسفي",35c0fd72f78f9fa2b4653c7bb35b41cb,1450,39,60
02-17,"النسفي",5ce189daf3ed936791dcd51696e8cf7b,1447,71,1
02-17,"النسفي",e89c7d45cdb56ea7dcedbd58b3db344a,1436,37,139
02-17,"النسفي",571f037ea54428f21bd7f63d66f537e7,1431,7,180
02-17,"النسفي",745ce23a78db58a965b957a2dd6fd7ef,1429,3,70
02-17,"النسفي",1e99f2ccd9bf56e7e9a0d2d310d252b8,1428,8,6
02-17,"النسفي",8ca0bf2e720d855d097ede2d292b529f,1427,4,91
02-17,"النسفي",6afba665a215c0238b764f57e60fe886,1401,2,203
02-17,"النسفي",335513fd33034fd88c8929d8b53f2f8b,1366,7,103
02-17,"النسفي",b72bd146554aa359d413de87699b3440,1365,3,98
