author_id,author_name,passage,words_spent,author_wordcount,percentage
02-16,"ابن عبد السلام",005:089,795,176489,0.45045
02-16,"ابن عبد السلام",002:001,499,176489,0.28274
02-16,"ابن عبد السلام",005:095,454,176489,0.25724
02-16,"ابن عبد السلام",024:035,448,176489,0.25384
02-16,"ابن عبد السلام",024:061,447,176489,0.25327
02-16,"ابن عبد السلام",002:102,381,176489,0.21588
02-16,"ابن عبد السلام",005:003,372,176489,0.21078
02-16,"ابن عبد السلام",038:034,368,176489,0.20851
02-16,"ابن عبد السلام",033:006,332,176489,0.18811
02-16,"ابن عبد السلام",033:037,302,176489,0.17112
02-16,"ابن عبد السلام",002:030,299,176489,0.16942
02-16,"ابن عبد السلام",002:196,297,176489,0.16828
02-16,"ابن عبد السلام",005:090,291,176489,0.16488
02-16,"ابن عبد السلام",002:178,283,176489,0.16035
02-16,"ابن عبد السلام",002:124,281,176489,0.15922
02-16,"ابن عبد السلام",072:001,265,176489,0.15015
02-16,"ابن عبد السلام",033:050,264,176489,0.14958
02-16,"ابن عبد السلام",004:024,256,176489,0.14505
02-16,"ابن عبد السلام",033:004,251,176489,0.14222
02-16,"ابن عبد السلام",033:053,249,176489,0.14109
02-16,"ابن عبد السلام",002:187,247,176489,0.13995
02-16,"ابن عبد السلام",005:103,244,176489,0.13825
02-16,"ابن عبد السلام",027:040,244,176489,0.13825
02-16,"ابن عبد السلام",033:028,243,176489,0.13769
02-16,"ابن عبد السلام",002:233,242,176489,0.13712
02-16,"ابن عبد السلام",024:031,240,176489,0.13599
02-16,"ابن عبد السلام",007:150,239,176489,0.13542
02-16,"ابن عبد السلام",004:043,237,176489,0.13429
02-16,"ابن عبد السلام",004:034,227,176489,0.12862
02-16,"ابن عبد السلام",060:010,223,176489,0.12635
02-16,"ابن عبد السلام",027:082,221,176489,0.12522
02-16,"ابن عبد السلام",033:033,221,176489,0.12522
02-16,"ابن عبد السلام",073:020,221,176489,0.12522
02-16,"ابن عبد السلام",002:185,215,176489,0.12182
02-16,"ابن عبد السلام",038:024,215,176489,0.12182
02-16,"ابن عبد السلام",028:076,211,176489,0.11955
02-16,"ابن عبد السلام",024:058,209,176489,0.11842
02-16,"ابن عبد السلام",008:001,208,176489,0.11785
02-16,"ابن عبد السلام",008:041,208,176489,0.11785
02-16,"ابن عبد السلام",002:143,207,176489,0.11729
02-16,"ابن عبد السلام",053:032,207,176489,0.11729
02-16,"ابن عبد السلام",012:024,205,176489,0.11615
02-16,"ابن عبد السلام",005:002,203,176489,0.11502
02-16,"ابن عبد السلام",033:072,202,176489,0.11445
02-16,"ابن عبد السلام",059:005,201,176489,0.11389
02-16,"ابن عبد السلام",009:036,198,176489,0.11219
02-16,"ابن عبد السلام",009:037,198,176489,0.11219
02-16,"ابن عبد السلام",005:027,197,176489,0.11162
02-16,"ابن عبد السلام",030:001,195,176489,0.11049
02-16,"ابن عبد السلام",030:002,195,176489,0.11049
02-16,"ابن عبد السلام",030:003,195,176489,0.11049
02-16,"ابن عبد السلام",002:037,194,176489,0.10992
02-16,"ابن عبد السلام",059:009,192,176489,0.10879
02-16,"ابن عبد السلام",012:100,191,176489,0.10822
02-16,"ابن عبد السلام",024:012,191,176489,0.10822
02-16,"ابن عبد السلام",025:070,190,176489,0.10766
02-16,"ابن عبد السلام",002:177,187,176489,0.10596
02-16,"ابن عبد السلام",009:060,187,176489,0.10596
02-16,"ابن عبد السلام",021:078,187,176489,0.10596
02-16,"ابن عبد السلام",021:079,187,176489,0.10596
02-16,"ابن عبد السلام",007:143,186,176489,0.10539
