author_id,author_name,passage,words_spent,author_wordcount,percentage
02-20,"ابن عرفة",002:282,1848,95653,1.93198
02-20,"ابن عرفة",001:001,1514,95653,1.5828
02-20,"ابن عرفة",002:255,1436,95653,1.50126
02-20,"ابن عرفة",002:025,1375,95653,1.43749
02-20,"ابن عرفة",002:286,1246,95653,1.30263
02-20,"ابن عرفة",002:026,1161,95653,1.21376
02-20,"ابن عرفة",002:200,1145,95653,1.19704
02-20,"ابن عرفة",002:164,1142,95653,1.1939
02-20,"ابن عرفة",002:185,1036,95653,1.08308
02-20,"ابن عرفة",002:221,991,95653,1.03604
02-20,"ابن عرفة",002:031,957,95653,1.00049
02-20,"ابن عرفة",002:233,949,95653,0.99213
02-20,"ابن عرفة",002:028,921,95653,0.96286
02-20,"ابن عرفة",002:061,918,95653,0.95972
02-20,"ابن عرفة",002:049,915,95653,0.95658
02-20,"ابن عرفة",002:106,891,95653,0.93149
02-20,"ابن عرفة",002:020,888,95653,0.92836
02-20,"ابن عرفة",002:235,852,95653,0.89072
02-20,"ابن عرفة",002:186,837,95653,0.87504
02-20,"ابن عرفة",002:249,822,95653,0.85936
02-20,"ابن عرفة",002:229,817,95653,0.85413
02-20,"ابن عرفة",002:196,811,95653,0.84786
02-20,"ابن عرفة",002:284,775,95653,0.81022
02-20,"ابن عرفة",002:163,764,95653,0.79872
02-20,"ابن عرفة",002:197,759,95653,0.79349
02-20,"ابن عرفة",002:217,755,95653,0.78931
02-20,"ابن عرفة",002:029,742,95653,0.77572
02-20,"ابن عرفة",002:260,738,95653,0.77154
02-20,"ابن عرفة",002:023,708,95653,0.74018
02-20,"ابن عرفة",002:178,705,95653,0.73704
02-20,"ابن عرفة",002:007,697,95653,0.72868
02-20,"ابن عرفة",002:180,696,95653,0.72763
02-20,"ابن عرفة",001:002,693,95653,0.72449
02-20,"ابن عرفة",002:285,687,95653,0.71822
02-20,"ابن عرفة",002:030,679,95653,0.70986
02-20,"ابن عرفة",002:177,669,95653,0.6994
02-20,"ابن عرفة",002:184,668,95653,0.69836
02-20,"ابن عرفة",002:058,666,95653,0.69627
02-20,"ابن عرفة",002:079,649,95653,0.67849
02-20,"ابن عرفة",002:065,646,95653,0.67536
02-20,"ابن عرفة",002:136,638,95653,0.66699
02-20,"ابن عرفة",002:199,631,95653,0.65968
02-20,"ابن عرفة",002:022,621,95653,0.64922
02-20,"ابن عرفة",002:006,617,95653,0.64504
02-20,"ابن عرفة",002:034,612,95653,0.63981
02-20,"ابن عرفة",002:033,610,95653,0.63772
02-20,"ابن عرفة",002:253,610,95653,0.63772
02-20,"ابن عرفة",002:274,610,95653,0.63772
02-20,"ابن عرفة",002:024,600,95653,0.62727
02-20,"ابن عرفة",002:102,587,95653,0.61368
02-20,"ابن عرفة",002:219,582,95653,0.60845
02-20,"ابن عرفة",002:035,561,95653,0.58649
02-20,"ابن عرفة",002:272,560,95653,0.58545
