author_id,author_name,passage,words_spent,author_wordcount,percentage
01-07,"ابن كثير",017:001,4553,5010990,0.09086
01-07,"ابن كثير",014:027,4221,5010990,0.08423
01-07,"ابن كثير",004:159,4099,5010990,0.0818
01-07,"ابن كثير",097:001,4052,5010990,0.08086
01-07,"ابن كثير",097:002,4052,5010990,0.08086
01-07,"ابن كثير",097:003,4052,5010990,0.08086
01-07,"ابن كثير",097:004,4052,5010990,0.08086
01-07,"ابن كثير",097:005,4052,5010990,0.08086
01-07,"ابن كثير",003:169,3996,5010990,0.07974
01-07,"ابن كثير",003:170,3996,5010990,0.07974
01-07,"ابن كثير",003:171,3996,5010990,0.07974
01-07,"ابن كثير",003:172,3996,5010990,0.07974
01-07,"ابن كثير",003:173,3996,5010990,0.07974
01-07,"ابن كثير",003:174,3996,5010990,0.07974
01-07,"ابن كثير",003:175,3996,5010990,0.07974
01-07,"ابن كثير",002:099,3964,5010990,0.07911
01-07,"ابن كثير",002:100,3964,5010990,0.07911
01-07,"ابن كثير",002:101,3964,5010990,0.07911
01-07,"ابن كثير",002:102,3964,5010990,0.07911
01-07,"ابن كثير",002:103,3964,5010990,0.07911
01-07,"ابن كثير",002:238,3958,5010990,0.07899
01-07,"ابن كثير",002:239,3958,5010990,0.07899
01-07,"ابن كثير",005:032,3949,5010990,0.07881
01-07,"ابن كثير",005:033,3949,5010990,0.07881
01-07,"ابن كثير",005:034,3949,5010990,0.07881
01-07,"ابن كثير",004:023,3938,5010990,0.07859
01-07,"ابن كثير",004:024,3938,5010990,0.07859
01-07,"ابن كثير",020:036,3933,5010990,0.07849
01-07,"ابن كثير",020:037,3933,5010990,0.07849
01-07,"ابن كثير",020:038,3933,5010990,0.07849
01-07,"ابن كثير",020:039,3933,5010990,0.07849
01-07,"ابن كثير",020:040,3933,5010990,0.07849
01-07,"ابن كثير",046:029,3928,5010990,0.07839
01-07,"ابن كثير",046:030,3928,5010990,0.07839
01-07,"ابن كثير",046:031,3928,5010990,0.07839
01-07,"ابن كثير",046:032,3928,5010990,0.07839
