author_id,author_name,passage,words_spent,author_wordcount,percentage
02-10,"الفيروز آبادي ",008:035,645,2138227,0.03017
02-10,"الفيروز آبادي ",008:036,645,2138227,0.03017
02-10,"الفيروز آبادي ",008:037,645,2138227,0.03017
02-10,"الفيروز آبادي ",008:038,645,2138227,0.03017
02-10,"الفيروز آبادي ",008:039,645,2138227,0.03017
02-10,"الفيروز آبادي ",008:040,645,2138227,0.03017
02-10,"الفيروز آبادي ",008:041,645,2138227,0.03017
02-10,"الفيروز آبادي ",008:042,645,2138227,0.03017
02-10,"الفيروز آبادي ",005:096,603,2138227,0.0282
02-10,"الفيروز آبادي ",005:097,603,2138227,0.0282
02-10,"الفيروز آبادي ",005:098,603,2138227,0.0282
02-10,"الفيروز آبادي ",005:099,603,2138227,0.0282
02-10,"الفيروز آبادي ",005:100,603,2138227,0.0282
02-10,"الفيروز آبادي ",005:101,603,2138227,0.0282
02-10,"الفيروز آبادي ",005:102,603,2138227,0.0282
02-10,"الفيروز آبادي ",005:103,603,2138227,0.0282
02-10,"الفيروز آبادي ",050:027,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:028,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:029,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:030,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:031,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:032,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:033,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:034,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:035,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:036,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:037,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:038,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:039,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:040,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:041,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:042,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:043,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:044,571,2138227,0.0267
02-10,"الفيروز آبادي ",050:045,571,2138227,0.0267
02-10,"الفيروز آبادي ",057:022,555,2138227,0.02596
02-10,"الفيروز آبادي ",057:023,555,2138227,0.02596
02-10,"الفيروز آبادي ",057:024,555,2138227,0.02596
02-10,"الفيروز آبادي ",057:025,555,2138227,0.02596
02-10,"الفيروز آبادي ",057:026,555,2138227,0.02596
02-10,"الفيروز آبادي ",057:027,555,2138227,0.02596
02-10,"الفيروز آبادي ",057:028,555,2138227,0.02596
02-10,"الفيروز آبادي ",057:029,555,2138227,0.02596
02-10,"الفيروز آبادي ",060:008,544,2138227,0.02544
02-10,"الفيروز آبادي ",060:009,544,2138227,0.02544
02-10,"الفيروز آبادي ",060:010,544,2138227,0.02544
02-10,"الفيروز آبادي ",060:011,544,2138227,0.02544
02-10,"الفيروز آبادي ",075:009,544,2138227,0.02544
02-10,"الفيروز آبادي ",075:010,544,2138227,0.02544
02-10,"الفيروز آبادي ",075:011,544,2138227,0.02544
02-10,"الفيروز آبادي ",075:012,544,2138227,0.02544
02-10,"الفيروز آبادي ",075:013,544,2138227,0.02544
02-10,"الفيروز آبادي ",075:014,544,2138227,0.02544
02-10,"الفيروز آبادي ",075:015,544,2138227,0.02544
02-10,"الفيروز آبادي ",075:016,544,2138227,0.02544
02-10,"الفيروز آبادي ",075:017,544,2138227,0.02544
