author_id,author_name,passage,words_spent,author_wordcount,percentage
02-12,"الماوردي",105:001,1366,1857286,0.07355
02-12,"الماوردي",105:002,1366,1857286,0.07355
02-12,"الماوردي",105:003,1366,1857286,0.07355
02-12,"الماوردي",105:004,1366,1857286,0.07355
02-12,"الماوردي",105:005,1366,1857286,0.07355
02-12,"الماوردي",074:011,1287,1857286,0.06929
02-12,"الماوردي",074:012,1287,1857286,0.06929
02-12,"الماوردي",074:013,1287,1857286,0.06929
02-12,"الماوردي",074:014,1287,1857286,0.06929
02-12,"الماوردي",074:015,1287,1857286,0.06929
02-12,"الماوردي",074:016,1287,1857286,0.06929
02-12,"الماوردي",074:017,1287,1857286,0.06929
02-12,"الماوردي",074:018,1287,1857286,0.06929
02-12,"الماوردي",074:019,1287,1857286,0.06929
02-12,"الماوردي",074:020,1287,1857286,0.06929
02-12,"الماوردي",074:021,1287,1857286,0.06929
02-12,"الماوردي",074:022,1287,1857286,0.06929
02-12,"الماوردي",074:023,1287,1857286,0.06929
02-12,"الماوردي",074:024,1287,1857286,0.06929
02-12,"الماوردي",074:025,1287,1857286,0.06929
02-12,"الماوردي",074:026,1287,1857286,0.06929
02-12,"الماوردي",074:027,1287,1857286,0.06929
02-12,"الماوردي",074:028,1287,1857286,0.06929
02-12,"الماوردي",074:029,1287,1857286,0.06929
02-12,"الماوردي",074:030,1287,1857286,0.06929
02-12,"الماوردي",038:034,1280,1857286,0.06892
02-12,"الماوردي",038:035,1280,1857286,0.06892
02-12,"الماوردي",038:036,1280,1857286,0.06892
02-12,"الماوردي",038:037,1280,1857286,0.06892
02-12,"الماوردي",038:038,1280,1857286,0.06892
02-12,"الماوردي",038:039,1280,1857286,0.06892
02-12,"الماوردي",038:040,1280,1857286,0.06892
02-12,"الماوردي",072:011,1117,1857286,0.06014
02-12,"الماوردي",072:012,1117,1857286,0.06014
02-12,"الماوردي",072:013,1117,1857286,0.06014
02-12,"الماوردي",072:014,1117,1857286,0.06014
02-12,"الماوردي",072:015,1117,1857286,0.06014
02-12,"الماوردي",072:016,1117,1857286,0.06014
02-12,"الماوردي",072:017,1117,1857286,0.06014
02-12,"الماوردي",002:183,1083,1857286,0.05831
02-12,"الماوردي",002:184,1083,1857286,0.05831
02-12,"الماوردي",111:001,1075,1857286,0.05788
02-12,"الماوردي",111:002,1075,1857286,0.05788
02-12,"الماوردي",111:003,1075,1857286,0.05788
02-12,"الماوردي",111:004,1075,1857286,0.05788
02-12,"الماوردي",111:005,1075,1857286,0.05788
02-12,"الماوردي",001:001,1062,1857286,0.05718
02-12,"الماوردي",044:017,1034,1857286,0.05567
02-12,"الماوردي",044:018,1034,1857286,0.05567
02-12,"الماوردي",044:019,1034,1857286,0.05567
02-12,"الماوردي",044:020,1034,1857286,0.05567
