author_id,author_name,passage,words_spent,author_wordcount,percentage
01-05,"القرطبي",024:033,4015,4371632,0.09184
01-05,"القرطبي",024:034,4015,4371632,0.09184
01-05,"القرطبي",027:020,3992,4371632,0.09132
01-05,"القرطبي",027:021,3992,4371632,0.09132
01-05,"القرطبي",027:022,3992,4371632,0.09132
01-05,"القرطبي",027:023,3992,4371632,0.09132
01-05,"القرطبي",027:024,3992,4371632,0.09132
01-05,"القرطبي",027:025,3992,4371632,0.09132
01-05,"القرطبي",027:026,3992,4371632,0.09132
01-05,"القرطبي",027:027,3992,4371632,0.09132
01-05,"القرطبي",027:028,3992,4371632,0.09132
01-05,"القرطبي",002:124,3978,4371632,0.091
01-05,"القرطبي",006:141,3974,4371632,0.0909
01-05,"القرطبي",002:238,3970,4371632,0.09081
01-05,"القرطبي",038:021,3970,4371632,0.09081
01-05,"القرطبي",038:022,3970,4371632,0.09081
01-05,"القرطبي",038:023,3970,4371632,0.09081
01-05,"القرطبي",038:024,3970,4371632,0.09081
01-05,"القرطبي",038:025,3970,4371632,0.09081
01-05,"القرطبي",002:198,3963,4371632,0.09065
01-05,"القرطبي",024:036,3949,4371632,0.09033
01-05,"القرطبي",024:037,3949,4371632,0.09033
01-05,"القرطبي",024:038,3949,4371632,0.09033
01-05,"القرطبي",002:228,3944,4371632,0.09022
01-05,"القرطبي",002:102,3940,4371632,0.09013
01-05,"القرطبي",037:102,3935,4371632,0.09001
01-05,"القرطبي",037:103,3935,4371632,0.09001
01-05,"القرطبي",037:104,3935,4371632,0.09001
01-05,"القرطبي",037:105,3935,4371632,0.09001
01-05,"القرطبي",037:106,3935,4371632,0.09001
01-05,"القرطبي",037:107,3935,4371632,0.09001
01-05,"القرطبي",037:108,3935,4371632,0.09001
01-05,"القرطبي",037:109,3935,4371632,0.09001
01-05,"القرطبي",037:110,3935,4371632,0.09001
01-05,"القرطبي",037:111,3935,4371632,0.09001
01-05,"القرطبي",037:112,3935,4371632,0.09001
01-05,"القرطبي",037:113,3935,4371632,0.09001
01-05,"القرطبي",002:030,3932,4371632,0.08994
01-05,"القرطبي",003:096,3927,4371632,0.08983
01-05,"القرطبي",003:097,3927,4371632,0.08983
01-05,"القرطبي",021:078,3927,4371632,0.08983
01-05,"القرطبي",021:079,3927,4371632,0.08983
01-05,"القرطبي",002:229,3925,4371632,0.08978
01-05,"القرطبي",005:106,3923,4371632,0.08974
01-05,"القرطبي",005:107,3923,4371632,0.08974
01-05,"القرطبي",005:108,3923,4371632,0.08974
01-05,"القرطبي",025:048,3923,4371632,0.08974
01-05,"القرطبي",002:196,3922,4371632,0.08971
01-05,"القرطبي",004:011,3920,4371632,0.08967
01-05,"القرطبي",004:012,3920,4371632,0.08967
01-05,"القرطبي",004:013,3920,4371632,0.08967
01-05,"القرطبي",004:014,3920,4371632,0.08967
01-05,"القرطبي",033:009,3919,4371632,0.08965
01-05,"القرطبي",002:185,3917,4371632,0.0896
01-05,"القرطبي",002:183,3914,4371632,0.08953
01-05,"القرطبي",002:184,3914,4371632,0.08953
01-05,"القرطبي",002:233,3911,4371632,0.08946
01-05,"القرطبي",003:190,3907,4371632,0.08937
01-05,"القرطبي",003:191,3907,4371632,0.08937
01-05,"القرطبي",003:192,3907,4371632,0.08937
01-05,"القرطبي",003:193,3907,4371632,0.08937
01-05,"القرطبي",003:194,3907,4371632,0.08937
01-05,"القرطبي",003:195,3907,4371632,0.08937
01-05,"القرطبي",003:196,3907,4371632,0.08937
01-05,"القرطبي",003:197,3907,4371632,0.08937
01-05,"القرطبي",003:198,3907,4371632,0.08937
01-05,"القرطبي",003:199,3907,4371632,0.08937
01-05,"القرطبي",003:200,3907,4371632,0.08937
01-05,"القرطبي",004:092,3907,4371632,0.08937
01-05,"القرطبي",004:024,3906,4371632,0.08935
01-05,"القرطبي",005:006,3906,4371632,0.08935
01-05,"القرطبي",005:003,3904,4371632,0.0893
01-05,"القرطبي",024:006,3904,4371632,0.0893
01-05,"القرطبي",024:007,3904,4371632,0.0893
01-05,"القرطبي",024:008,3904,4371632,0.0893
01-05,"القرطبي",024:009,3904,4371632,0.0893
01-05,"القرطبي",024:010,3904,4371632,0.0893
01-05,"القرطبي",002:282,3903,4371632,0.08928
01-05,"القرطبي",008:041,3903,4371632,0.08928
01-05,"القرطبي",002:221,3898,4371632,0.08917
01-05,"القرطبي",002:234,3897,4371632,0.08914
01-05,"القرطبي",002:173,3896,4371632,0.08912
01-05,"القرطبي",002:187,3896,4371632,0.08912
01-05,"القرطبي",002:003,3893,4371632,0.08905
01-05,"القرطبي",005:038,3888,4371632,0.08894
01-05,"القرطبي",005:039,3888,4371632,0.08894
01-05,"القرطبي",002:203,3887,4371632,0.08891
01-05,"القرطبي",005:095,3886,4371632,0.08889
01-05,"القرطبي",002:043,3879,4371632,0.08873
01-05,"القرطبي",005:045,3877,4371632,0.08869
01-05,"القرطبي",005:089,3877,4371632,0.08869
01-05,"القرطبي",020:009,3874,4371632,0.08862
01-05,"القرطبي",020:010,3874,4371632,0.08862
01-05,"القرطبي",020:011,3874,4371632,0.08862
01-05,"القرطبي",020:012,3874,4371632,0.08862
01-05,"القرطبي",020:013,3874,4371632,0.08862
01-05,"القرطبي",020:014,3874,4371632,0.08862
01-05,"القرطبي",020:015,3874,4371632,0.08862
01-05,"القرطبي",020:016,3874,4371632,0.08862
01-05,"القرطبي",004:023,3870,4371632,0.08853
01-05,"القرطبي",002:283,3869,4371632,0.0885
01-05,"القرطبي",002:275,3868,4371632,0.08848
01-05,"القرطبي",002:276,3868,4371632,0.08848
01-05,"القرطبي",002:277,3868,4371632,0.08848
01-05,"القرطبي",002:278,3868,4371632,0.08848
01-05,"القرطبي",002:279,3868,4371632,0.08848
01-05,"القرطبي",009:060,3861,4371632,0.08832
01-05,"القرطبي",004:043,3851,4371632,0.08809
01-05,"القرطبي",001:001,3835,4371632,0.08772
01-05,"القرطبي",001:002,3835,4371632,0.08772
01-05,"القرطبي",001:003,3835,4371632,0.08772
01-05,"القرطبي",001:004,3835,4371632,0.08772
01-05,"القرطبي",001:005,3835,4371632,0.08772
01-05,"القرطبي",001:006,3835,4371632,0.08772
01-05,"القرطبي",001:007,3835,4371632,0.08772
01-05,"القرطبي",004:101,3779,4371632,0.08644
01-05,"القرطبي",004:036,3643,4371632,0.08333
01-05,"القرطبي",028:023,3611,4371632,0.0826
01-05,"القرطبي",028:024,3611,4371632,0.0826
01-05,"القرطبي",028:025,3611,4371632,0.0826
01-05,"القرطبي",028:026,3611,4371632,0.0826
01-05,"القرطبي",028:027,3611,4371632,0.0826
01-05,"القرطبي",028:028,3611,4371632,0.0826
01-05,"القرطبي",024:031,3608,4371632,0.08253
01-05,"القرطبي",024:011,3579,4371632,0.08187
01-05,"القرطبي",024:012,3579,4371632,0.08187
01-05,"القرطبي",024:013,3579,4371632,0.08187
01-05,"القرطبي",024:014,3579,4371632,0.08187
01-05,"القرطبي",024:015,3579,4371632,0.08187
01-05,"القرطبي",024:016,3579,4371632,0.08187
01-05,"القرطبي",024:017,3579,4371632,0.08187
01-05,"القرطبي",024:018,3579,4371632,0.08187
01-05,"القرطبي",024:019,3579,4371632,0.08187
01-05,"القرطبي",024:020,3579,4371632,0.08187
01-05,"القرطبي",024:021,3579,4371632,0.08187
01-05,"القرطبي",024:022,3579,4371632,0.08187
01-05,"القرطبي",002:035,3564,4371632,0.08153
01-05,"القرطبي",016:106,3555,4371632,0.08132
01-05,"القرطبي",022:028,3535,4371632,0.08086
01-05,"القرطبي",022:029,3535,4371632,0.08086
01-05,"القرطبي",004:006,3482,4371632,0.07965
01-05,"القرطبي",006:151,3429,4371632,0.07844
01-05,"القرطبي",006:152,3429,4371632,0.07844
01-05,"القرطبي",006:153,3429,4371632,0.07844
01-05,"القرطبي",018:079,3372,4371632,0.07713
01-05,"القرطبي",018:080,3372,4371632,0.07713
01-05,"القرطبي",018:081,3372,4371632,0.07713
01-05,"القرطبي",018:082,3372,4371632,0.07713
01-05,"القرطبي",002:036,3341,4371632,0.07642
01-05,"القرطبي",062:011,3341,4371632,0.07642
01-05,"القرطبي",002:164,3318,4371632,0.0759
