author_id,author_name,passage,words_spent,author_wordcount,percentage
01-04,"الرازي",002:102,4382,5979642,0.07328
01-04,"الرازي",025:045,4270,5979642,0.07141
01-04,"الرازي",025:046,4270,5979642,0.07141
01-04,"الرازي",025:047,4270,5979642,0.07141
01-04,"الرازي",025:048,4270,5979642,0.07141
01-04,"الرازي",025:049,4270,5979642,0.07141
01-04,"الرازي",024:035,4268,5979642,0.07138
01-04,"الرازي",002:034,4095,5979642,0.06848
01-04,"الرازي",002:258,4089,5979642,0.06838
01-04,"الرازي",002:259,4089,5979642,0.06838
01-04,"الرازي",002:026,4040,5979642,0.06756
01-04,"الرازي",002:027,4040,5979642,0.06756
01-04,"الرازي",002:282,4036,5979642,0.0675
01-04,"الرازي",002:109,4032,5979642,0.06743
01-04,"الرازي",002:163,4031,5979642,0.06741
01-04,"الرازي",007:054,4030,5979642,0.0674
01-04,"الرازي",002:122,4016,5979642,0.06716
01-04,"الرازي",002:123,4016,5979642,0.06716
01-04,"الرازي",002:124,4016,5979642,0.06716
01-04,"الرازي",003:007,4012,5979642,0.06709
01-04,"الرازي",003:096,4010,5979642,0.06706
01-04,"الرازي",003:097,4010,5979642,0.06706
01-04,"الرازي",002:021,4005,5979642,0.06698
01-04,"الرازي",002:022,4005,5979642,0.06698
01-04,"الرازي",002:228,3993,5979642,0.06678
01-04,"الرازي",002:127,3990,5979642,0.06673
01-04,"الرازي",002:128,3990,5979642,0.06673
01-04,"الرازي",002:129,3990,5979642,0.06673
01-04,"الرازي",108:001,3989,5979642,0.06671
01-04,"الرازي",002:164,3988,5979642,0.06669
01-04,"الرازي",002:184,3986,5979642,0.06666
01-04,"الرازي",039:022,3981,5979642,0.06658
01-04,"الرازي",039:023,3981,5979642,0.06658
01-04,"الرازي",039:024,3981,5979642,0.06658
01-04,"الرازي",039:025,3981,5979642,0.06658
01-04,"الرازي",039:026,3981,5979642,0.06658
01-04,"الرازي",039:027,3981,5979642,0.06658
01-04,"الرازي",039:028,3981,5979642,0.06658
01-04,"الرازي",002:006,3979,5979642,0.06654
01-04,"الرازي",002:007,3979,5979642,0.06654
01-04,"الرازي",002:187,3979,5979642,0.06654
01-04,"الرازي",002:048,3977,5979642,0.06651
01-04,"الرازي",002:173,3976,5979642,0.06649
01-04,"الرازي",010:004,3976,5979642,0.06649
01-04,"الرازي",004:092,3971,5979642,0.06641
01-04,"الرازي",005:095,3970,5979642,0.06639
01-04,"الرازي",017:078,3970,5979642,0.06639
01-04,"الرازي",017:079,3970,5979642,0.06639
01-04,"الرازي",017:080,3970,5979642,0.06639
01-04,"الرازي",017:081,3970,5979642,0.06639
01-04,"الرازي",002:040,3966,5979642,0.06633
01-04,"الرازي",002:030,3964,5979642,0.06629
01-04,"الرازي",002:144,3964,5979642,0.06629
01-04,"الرازي",004:011,3963,5979642,0.06627
01-04,"الرازي",002:196,3962,5979642,0.06626
01-04,"الرازي",002:197,3957,5979642,0.06617
01-04,"الرازي",021:021,3955,5979642,0.06614
01-04,"الرازي",021:022,3955,5979642,0.06614
01-04,"الرازي",021:023,3955,5979642,0.06614
01-04,"الرازي",021:024,3955,5979642,0.06614
01-04,"الرازي",021:025,3955,5979642,0.06614
01-04,"الرازي",002:143,3950,5979642,0.06606
01-04,"الرازي",002:031,3949,5979642,0.06604
01-04,"الرازي",002:286,3946,5979642,0.06599
01-04,"الرازي",004:023,3944,5979642,0.06596
01-04,"الرازي",002:001,3940,5979642,0.06589
01-04,"الرازي",002:036,3938,5979642,0.06586
01-04,"الرازي",002:067,3936,5979642,0.06582
01-04,"الرازي",002:068,3936,5979642,0.06582
01-04,"الرازي",002:069,3936,5979642,0.06582
01-04,"الرازي",002:070,3936,5979642,0.06582
01-04,"الرازي",002:071,3936,5979642,0.06582
01-04,"الرازي",002:072,3936,5979642,0.06582
01-04,"الرازي",002:073,3936,5979642,0.06582
01-04,"الرازي",006:076,3935,5979642,0.06581
01-04,"الرازي",006:077,3935,5979642,0.06581
01-04,"الرازي",006:078,3935,5979642,0.06581
01-04,"الرازي",006:079,3935,5979642,0.06581
01-04,"الرازي",002:177,3934,5979642,0.06579
01-04,"الرازي",024:004,3932,5979642,0.06576
01-04,"الرازي",024:005,3932,5979642,0.06576
01-04,"الرازي",009:060,3931,5979642,0.06574
01-04,"الرازي",002:178,3930,5979642,0.06572
01-04,"الرازي",002:275,3926,5979642,0.06566
01-04,"الرازي",002:198,3925,5979642,0.06564
01-04,"الرازي",002:285,3925,5979642,0.06564
01-04,"الرازي",038:021,3923,5979642,0.06561
01-04,"الرازي",038:022,3923,5979642,0.06561
01-04,"الرازي",038:023,3923,5979642,0.06561
01-04,"الرازي",038:024,3923,5979642,0.06561
01-04,"الرازي",038:025,3923,5979642,0.06561
01-04,"الرازي",024:030,3921,5979642,0.06557
01-04,"الرازي",024:031,3921,5979642,0.06557
01-04,"الرازي",005:006,3920,5979642,0.06556
01-04,"الرازي",002:255,3919,5979642,0.06554
01-04,"الرازي",001:007,3915,5979642,0.06547
01-04,"الرازي",017:085,3912,5979642,0.06542
01-04,"الرازي",002:185,3908,5979642,0.06536
01-04,"الرازي",002:002,3901,5979642,0.06524
01-04,"الرازي",003:104,3900,5979642,0.06522
01-04,"الرازي",003:105,3900,5979642,0.06522
01-04,"الرازي",003:106,3900,5979642,0.06522
01-04,"الرازي",003:107,3900,5979642,0.06522
01-04,"الرازي",003:108,3900,5979642,0.06522
01-04,"الرازي",003:109,3900,5979642,0.06522
01-04,"الرازي",004:024,3892,5979642,0.06509
