"Abu-Hayyan_1" "al-Baghawi_1" "al-Baydawi_1" "al-Khazin_1" "al-Mawardi_1" "al-Nasafi_1" "al-Qurtubi_1" "al-Razi_1" "al-Suyuti_1" "al-Tabari_1" "al-Zamakhshari_1" "Fairuzabadi_1" "Ibn-Abd-al-Salam_1" "Ibn-al-Jawzi_1" "Ibn-Arafa_1" "Ibn-Atiya_1" "Ibn-Kathir_1" "Samarqandi_1"
"من" 2.552 1.90533333333333 2.31066666666667 2.932 2.27333333333333 2.40666666666667 2.03066666666667 2.06666666666667 1.82266666666667 2.272 2.64133333333333 2.528 2.62266666666667 1.90533333333333 1.94666666666667 2.28666666666667 1.92266666666667 2.00533333333333
"في" 2.376 1.55733333333333 1.71333333333333 2.092 1.77066666666667 1.916 2.05866666666667 2.37733333333333 1.556 0.926666666666667 2.032 1.924 1.99866666666667 1.9 2.472 2.74666666666667 1.51866666666667 1.82666666666667
"الله" 1.27066666666667 2.36 0.932 2.64666666666667 1.388 1.24666666666667 1.69466666666667 1.19866666666667 0.704 1.78933333333333 1.512 1.64266666666667 1.552 1.14666666666667 0.773333333333333 1.516 2.82266666666667 1.7
"على" 1.868 0.888 1.78933333333333 1.17333333333333 0.932 1.39066666666667 1.19866666666667 1.59466666666667 0.748 0.305333333333333 1.67733333333333 0.830666666666667 0.992 1.06266666666667 1.74133333333333 1.456 0.745333333333333 0.881333333333333
"قال" 0.649333333333333 1.47466666666667 0.165333333333333 1.03733333333333 0.816 0.290666666666667 1.452 0.878666666666667 0.172 5.31333333333333 0.406666666666667 0.122666666666667 0.356 1.596 1.86133333333333 0.893333333333333 2.07866666666667 1.604
"أن" 1.25733333333333 0.742666666666667 0.769333333333333 1.08 1.23333333333333 0.88 0.938666666666667 2.128 0.272 0.665333333333333 1.11866666666667 0.302666666666667 0.469333333333333 1.044 1.16666666666667 1.384 0.72 0.649333333333333
"عن" 0.545333333333333 0.98 0.512 0.694666666666667 0.566666666666667 0.506666666666667 0.864 0.581333333333333 0.393333333333333 3.23466666666667 0.481333333333333 0.490666666666667 0.521333333333333 0.870666666666667 0.532 0.584 2.25333333333333 0.734666666666667
"أو" 0.570666666666667 0.14 1.956 0.222666666666667 0.146666666666667 1.13733333333333 0.261333333333333 0.278666666666667 0.401333333333333 0.168 0.753333333333333 0.141333333333333 7.11466666666667 0.146666666666667 0.649333333333333 0.306666666666667 0.174666666666667 0.121333333333333
"أي" 0.856 0.953333333333333 0.766666666666667 1.232 0.390666666666667 1.46133333333333 1.152 0.353333333333333 2.25466666666667 0.0786666666666667 0.622666666666667 0.104 0.148 1.05333333333333 0.336 0.493333333333333 0.844 0.781333333333333
"لا" 0.954666666666667 0.64 0.741333333333333 0.914666666666667 0.514666666666667 0.824 0.670666666666667 1.02533333333333 0.554666666666667 0.534666666666667 0.878666666666667 0.632 0.897333333333333 0.693333333333333 1.04133333333333 0.685333333333333 0.605333333333333 0.704
"ما" 0.953333333333333 0.584 0.828 0.888 0.742666666666667 0.765333333333333 0.696 0.741333333333333 0.574666666666667 0.745333333333333 0.92 0.565333333333333 0.789333333333333 0.812 0.56 0.661333333333333 0.54 0.542666666666667
"عليه" 0.533333333333333 0.796 0.690666666666667 0.928 0.568 0.634666666666667 0.810666666666667 0.672 0.397333333333333 0.481333333333333 0.706666666666667 0.636 0.905333333333333 0.54 0.6 0.649333333333333 1.02133333333333 0.646666666666667
"تعالى" 0.34 0.306666666666667 0.256 0.665333333333333 0.544 0.184 0.721333333333333 1.18533333333333 0.245333333333333 0.138666666666667 0.230666666666667 0.08 0.642666666666667 1.4 1.05733333333333 0.797333333333333 0.84 0.802666666666667
"ابن" 0.564 0.568 0.129333333333333 0.378666666666667 1.1 0.108 0.378666666666667 0.110666666666667 0.0493333333333333 1.43333333333333 0.186666666666667 0.0946666666666667 0.162666666666667 1.42133333333333 1.62 0.562666666666667 1.07066666666667 0.262666666666667
"إلى" 0.701333333333333 0.604 0.638666666666667 0.74 0.430666666666667 0.621333333333333 0.556 0.772 0.404 0.198666666666667 0.594666666666667 0.576 0.605333333333333 0.324 0.461333333333333 0.625333333333333 0.505333333333333 0.568
"بن" 0.305333333333333 1.52666666666667 0.076 0.365333333333333 0.706666666666667 0.0973333333333333 0.604 0.0893333333333333 0.0733333333333333 1.63333333333333 0.188 0.278666666666667 0.252 0.481333333333333 0.109333333333333 0.529333333333333 1.972 0.388
"قوله" 0.368 0.369333333333333 0.153333333333333 0.493333333333333 0.685333333333333 0.176 0.622666666666667 0.748 0.0186666666666667 0.885333333333333 0.341333333333333 0.084 0.0626666666666667 1.30666666666667 0.952 0.418666666666667 0.217333333333333 0.594666666666667
"ذلك" 0.592 0.288 0.292 0.568 0.213333333333333 0.277333333333333 0.356 0.613333333333333 0.330666666666667 1.17733333333333 0.352 0.248 0.237333333333333 0.268 0.5 0.597333333333333 0.444 0.269333333333333
"يعني" 0.0653333333333333 0.457333333333333 0.0773333333333333 1.17733333333333 0.430666666666667 0.136 0.126666666666667 0.0746666666666667 0.00666666666666667 0.101333333333333 0.129333333333333 0.572 0.0413333333333333 0.222666666666667 0.00533333333333333 0.032 0.186666666666667 3.42
"به" 0.466666666666667 0.256 0.582666666666667 0.436 0.36 0.416 0.301333333333333 0.298666666666667 0.453333333333333 0.322666666666667 0.464 0.261333333333333 0.429333333333333 0.317333333333333 0.366666666666667 0.334666666666667 0.372 0.273333333333333
"وقال" 0.877333333333333 0.654666666666667 0.0346666666666667 0.342666666666667 0.18 0.08 0.710666666666667 0.173333333333333 0.02 0.225333333333333 0.0626666666666667 0.032 0.064 0.512 0.206666666666667 0.814666666666667 0.884 0.688
"صلى" 0.193333333333333 0.505333333333333 0.162666666666667 0.624 0.361333333333333 0.146666666666667 0.525333333333333 0.148 0.221333333333333 0.389333333333333 0.317333333333333 0.284 0.556 0.242666666666667 0.142666666666667 0.330666666666667 0.742666666666667 0.406666666666667
"كان" 0.457333333333333 0.290666666666667 0.233333333333333 0.416 0.322666666666667 0.332 0.448 0.645333333333333 0.0813333333333333 0.393333333333333 0.374666666666667 0.16 0.318666666666667 0.324 0.432 0.406666666666667 0.308 0.321333333333333
"وسلم" 0.145333333333333 0.548 0.170666666666667 0.534666666666667 0.338666666666667 0.170666666666667 0.501333333333333 0.166666666666667 0.222666666666667 0.362666666666667 0.288 0.309333333333333 0.564 0.294666666666667 0.117333333333333 0.325333333333333 0.666666666666667 0.386666666666667
"ولا" 0.465333333333333 0.294666666666667 0.244 0.438666666666667 0.256 0.364 0.377333333333333 0.276 0.152 0.264 0.385333333333333 0.346666666666667 0.329333333333333 0.284 0.324 0.298666666666667 0.316 0.316
"وهو" 0.442666666666667 0.282666666666667 0.472 0.392 0.406666666666667 0.473333333333333 0.308 0.377333333333333 0.244 0.114666666666667 0.409333333333333 0.214666666666667 0.205333333333333 0.252 0.374666666666667 0.256 0.233333333333333 0.252
"ثم" 0.264 0.342666666666667 0.133333333333333 0.418666666666667 0.228 0.244 0.316 0.536 0.056 0.22 0.281333333333333 0.157333333333333 0.198666666666667 0.312 0.170666666666667 0.446666666666667 0.492 0.866666666666667
"أنه" 0.345333333333333 0.158666666666667 0.232 0.245333333333333 0.969333333333333 0.2 0.292 0.746666666666667 0.0906666666666667 0.194666666666667 0.302666666666667 0.0373333333333333 0.0986666666666667 0.634666666666667 0.354666666666667 0.298666666666667 0.196 0.284
"هذا" 0.373333333333333 0.254666666666667 0.149333333333333 0.334666666666667 0.232 0.193333333333333 0.441333333333333 0.634666666666667 0.0613333333333333 0.244 0.214666666666667 0.109333333333333 0.0973333333333333 0.505333333333333 0.506666666666667 0.638666666666667 0.354666666666667 0.206666666666667
"هو" 0.521333333333333 0.248 0.216 0.408 0.222666666666667 0.378666666666667 0.310666666666667 0.396 0.202666666666667 0.229333333333333 0.385333333333333 0.0906666666666667 0.122666666666667 0.232 0.486666666666667 0.537333333333333 0.238666666666667 0.182666666666667
"فيه" 0.309333333333333 0.153333333333333 0.342666666666667 0.274666666666667 1.08666666666667 0.229333333333333 0.274666666666667 0.298666666666667 0.269333333333333 0.0693333333333333 0.312 0.096 0.268 0.34 0.388 0.197333333333333 0.168 0.148
"له" 0.261333333333333 0.265333333333333 0.32 0.36 0.217333333333333 0.289333333333333 0.324 0.242666666666667 0.272 0.24 0.336 0.144 0.246666666666667 0.264 0.361333333333333 0.265333333333333 0.337333333333333 0.282666666666667
"الذي" 0.288 0.224 0.149333333333333 0.289333333333333 0.261333333333333 0.268 0.205333333333333 0.281333333333333 0.125333333333333 0.461333333333333 0.34 0.16 0.238666666666667 0.252 0.192 0.330666666666667 0.236 0.214666666666667
"قاله" 0.132 0.0173333333333333 0.004 0.00666666666666667 2.57466666666667 0.00533333333333333 0.173333333333333 0.0106666666666667 0.0106666666666667 0.00533333333333333 0.00133333333333333 0 0.254666666666667 1.06933333333333 0.0266666666666667 0.0733333333333333 0.052 0.00133333333333333
"لم" 0.266666666666667 0.221333333333333 0.236 0.262666666666667 0.193333333333333 0.282666666666667 0.278666666666667 0.316 0.144 0.0706666666666667 0.357333333333333 0.189333333333333 0.268 0.254666666666667 0.374666666666667 0.241333333333333 0.145333333333333 0.253333333333333
