"Abu-Hayyan_1" "al-Baghawi_1" "al-Baydawi_1" "al-Khazin_1" "al-Mawardi_1" "al-Nasafi_1" "al-Qurtubi_1" "al-Razi_1" "al-Suyuti_1" "al-Zamakhshari_1" "Fairuzabadi_1" "Ibn-Abd-al-Salam_1" "Ibn-al-Jawzi_1" "Ibn-Arafa_1" "Ibn-Atiya_1" "Samarqandi_1"
"من" 2.588 1.74666666666667 2.356 2.76 2.24266666666667 2.492 1.988 2.108 1.83333333333333 2.54666666666667 2.56933333333333 2.68666666666667 1.94133333333333 1.90666666666667 2.308 1.91866666666667
"في" 2.524 1.45466666666667 1.65333333333333 2.11466666666667 1.69466666666667 1.944 2.164 2.53866666666667 1.54266666666667 2.036 1.932 2.03066666666667 1.948 2.45066666666667 2.68533333333333 1.808
"الله" 1.19466666666667 2.25733333333333 0.902666666666667 2.552 1.31733333333333 1.232 1.604 1.20666666666667 0.681333333333333 1.612 1.44666666666667 1.47066666666667 1.288 0.784 1.53066666666667 1.75066666666667
"على" 1.792 0.861333333333333 1.80533333333333 1.196 0.856 1.44133333333333 1.21733333333333 1.60133333333333 0.769333333333333 1.66533333333333 0.877333333333333 1.028 1.04533333333333 1.72 1.42 0.812
"أن" 1.23466666666667 0.718666666666667 0.842666666666667 1.07733333333333 1.20133333333333 0.774666666666667 0.961333333333333 2.09333333333333 0.248 1.136 0.308 0.528 0.94 1.13066666666667 1.41066666666667 0.685333333333333
"أو" 0.596 0.148 1.936 0.245333333333333 0.190666666666667 1.00133333333333 0.273333333333333 0.256 0.378666666666667 0.690666666666667 0.158666666666667 7.11866666666667 0.165333333333333 0.628 0.337333333333333 0.118666666666667
"قال" 0.677333333333333 1.41066666666667 0.149333333333333 1.016 0.812 0.286666666666667 1.42933333333333 0.832 0.181333333333333 0.436 0.110666666666667 0.358666666666667 1.61866666666667 1.87733333333333 0.932 1.648
"أي" 0.894666666666667 0.98 0.669333333333333 1.25066666666667 0.366666666666667 1.428 1.09733333333333 0.326666666666667 2.34133333333333 0.586666666666667 0.106666666666667 0.142666666666667 1.116 0.324 0.428 0.770666666666667
"لا" 0.921333333333333 0.670666666666667 0.785333333333333 0.882666666666667 0.546666666666667 0.845333333333333 0.706666666666667 1.06266666666667 0.56 0.858666666666667 0.694666666666667 0.84 0.709333333333333 1.04 0.694666666666667 0.750666666666667
"ما" 0.914666666666667 0.653333333333333 0.854666666666667 0.92 0.737333333333333 0.778666666666667 0.776 0.722666666666667 0.562666666666667 0.84 0.570666666666667 0.802666666666667 0.721333333333333 0.572 0.632 0.613333333333333
"عليه" 0.517333333333333 0.788 0.705333333333333 0.970666666666667 0.546666666666667 0.644 0.888 0.701333333333333 0.409333333333333 0.716 0.574666666666667 0.893333333333333 0.486666666666667 0.593333333333333 0.677333333333333 0.638666666666667
"عن" 0.542666666666667 0.949333333333333 0.532 0.677333333333333 0.526666666666667 0.458666666666667 0.812 0.584 0.364 0.462666666666667 0.476 0.513333333333333 0.797333333333333 0.52 0.618666666666667 0.734666666666667
"تعالى" 0.364 0.298666666666667 0.264 0.62 0.505333333333333 0.141333333333333 0.741333333333333 1.20133333333333 0.270666666666667 0.277333333333333 0.0653333333333333 0.673333333333333 1.336 1.10266666666667 0.786666666666667 0.836
"إلى" 0.725333333333333 0.62 0.654666666666667 0.764 0.489333333333333 0.610666666666667 0.552 0.788 0.390666666666667 0.64 0.505333333333333 0.648 0.334666666666667 0.474666666666667 0.636 0.589333333333333
"قوله" 0.361333333333333 0.397333333333333 0.12 0.52 0.686666666666667 0.182666666666667 0.533333333333333 0.774666666666667 0.02 0.369333333333333 0.0986666666666667 0.0573333333333333 1.36266666666667 0.998666666666667 0.48 0.574666666666667
"ابن" 0.516 0.576 0.134666666666667 0.352 1.09066666666667 0.0946666666666667 0.334666666666667 0.132 0.0506666666666667 0.141333333333333 0.0826666666666667 0.173333333333333 1.34533333333333 1.552 0.649333333333333 0.292
"يعني" 0.052 0.464 0.0746666666666667 1.192 0.452 0.165333333333333 0.142666666666667 0.076 0.012 0.142666666666667 0.658666666666667 0.0453333333333333 0.249333333333333 0.00666666666666667 0.0226666666666667 3.36133333333333
"بن" 0.357333333333333 1.46533333333333 0.0946666666666667 0.318666666666667 0.717333333333333 0.076 0.682666666666667 0.096 0.0626666666666667 0.206666666666667 0.308 0.253333333333333 0.481333333333333 0.105333333333333 0.578666666666667 0.382666666666667
"به" 0.461333333333333 0.268 0.593333333333333 0.398666666666667 0.309333333333333 0.442666666666667 0.286666666666667 0.288 0.458666666666667 0.553333333333333 0.272 0.432 0.348 0.370666666666667 0.342666666666667 0.293333333333333
"ذلك" 0.562666666666667 0.262666666666667 0.278666666666667 0.509333333333333 0.248 0.301333333333333 0.405333333333333 0.674666666666667 0.32 0.34 0.253333333333333 0.204 0.277333333333333 0.497333333333333 0.58 0.288
"وقال" 0.914666666666667 0.738666666666667 0.036 0.334666666666667 0.129333333333333 0.0813333333333333 0.757333333333333 0.193333333333333 0.0293333333333333 0.0866666666666667 0.0333333333333333 0.08 0.552 0.2 0.782666666666667 0.609333333333333
"وهو" 0.465333333333333 0.261333333333333 0.454666666666667 0.417333333333333 0.417333333333333 0.502666666666667 0.318666666666667 0.353333333333333 0.266666666666667 0.429333333333333 0.197333333333333 0.196 0.298666666666667 0.385333333333333 0.270666666666667 0.272
"كان" 0.434666666666667 0.349333333333333 0.254666666666667 0.401333333333333 0.281333333333333 0.286666666666667 0.408 0.650666666666667 0.088 0.38 0.170666666666667 0.341333333333333 0.32 0.457333333333333 0.354666666666667 0.306666666666667
"ولا" 0.457333333333333 0.284 0.302666666666667 0.52 0.285333333333333 0.350666666666667 0.408 0.310666666666667 0.153333333333333 0.366666666666667 0.365333333333333 0.346666666666667 0.26 0.308 0.309333333333333 0.3
"هذا" 0.416 0.244 0.134666666666667 0.324 0.250666666666667 0.217333333333333 0.442666666666667 0.728 0.0773333333333333 0.2 0.110666666666667 0.0986666666666667 0.514666666666667 0.490666666666667 0.673333333333333 0.208
"صلى" 0.198666666666667 0.457333333333333 0.221333333333333 0.628 0.324 0.158666666666667 0.485333333333333 0.152 0.242666666666667 0.272 0.313333333333333 0.497333333333333 0.274666666666667 0.141333333333333 0.356 0.390666666666667
