"Abu-Hayyan" "al-Baghawi" "al-Baydawi" "al-Khazin" "al-Mawardi" "al-Nasafi" "al-Qurtubi" "al-Razi" "al-Suyuti" "al-Zamakhshari" "Fairuzabadi" "Ibn-Abd-al-Salam" "Ibn-al-Jawzi" "Ibn-Arafa" "Ibn-Atiya" "Samarqandi"
"من" 2.60680231324555 1.83435807566262 2.34688484678466 2.72503696889338 2.19138602441444 2.47655680749612 2.06247657375964 2.0726809145177 1.81806466854952 2.57926214556962 2.57055455037213 2.65953507977466 1.85781100432539 1.93437484200415 2.31351894366281 1.94641027407215
"في" 2.46151624769973 1.54042039187731 1.75964703112398 2.07691353925481 1.72774985342659 1.93885770858657 2.12142183161365 2.32499892671191 1.52704545698607 2.0598333566225 1.94838745779784 2.02327449204532 1.9272961941786 2.48040851408059 2.7281226233465 1.80835086403307
"الله" 1.16496241236151 2.30615538460015 0.876567345119 2.56678372969361 1.35538779641382 1.2404386186808 1.69080647461912 1.19246865045667 0.696405751656447 1.55630544896968 1.54515864281584 1.53853164499279 1.23342106273607 0.774558875575105 1.52746990131875 1.76062825106181
"على" 1.81301891493914 0.892783239769903 1.82815184775149 1.21061262984099 0.888522469375996 1.43919999464267 1.20288822764209 1.61409267871656 0.733454322870244 1.61016499975105 0.811727070936935 0.983726083266404 1.01220015776473 1.74022953637697 1.4775704731221 0.847208210662379
"أن" 1.23248892432232 0.675755685587271 0.838964838368709 1.09017254779581 1.19710869440175 0.872618822082322 0.927712865499971 2.12040286676492 0.265783228272892 1.08340146084662 0.325492902575964 0.518350165473322 0.997717059540354 1.15981596642904 1.39705727689013 0.670456571598256
"قال" 0.687138627650835 1.43471846813398 0.156922367887146 1.06991021716929 0.831255405052217 0.270458909579668 1.44989585587839 0.895694133946022 0.173967203960439 0.408390311491305 0.111451008188618 0.34176933987252 1.56168216807265 1.84640275039183 0.941753504934316 1.58054789382773
"أي" 0.875329755430305 0.97733685805091 0.744473276859649 1.30088106628173 0.372059323633083 1.47065272406343 1.11611270873258 0.335247128933642 2.32493207761944 0.579231093343527 0.108559810486654 0.15322658737618 1.09845879625918 0.333687244046716 0.426818775869964 0.796816031634028
"لا" 0.931192334353361 0.626330432371957 0.733264536296281 0.89541260341615 0.549763817508282 0.820428029307204 0.686284788388774 1.03902574946588 0.547674530986566 0.851473454897445 0.67901176997258 0.884612974703373 0.678920490485278 1.04049749734567 0.679661129916671 0.70436994780504
"ما" 0.899149038758946 0.628983871446817 0.859910780929862 0.883777785830123 0.766773195179274 0.76964137623837 0.743115216380842 0.7143043029487 0.542842108654331 0.887237053229405 0.58304265915577 0.812841413330143 0.755883000817116 0.561201274078568 0.678698114034765 0.584667924109181
"عليه" 0.557231031438563 0.821892852546014 0.699857479924457 0.957234896860547 0.566666431207371 0.622487535019784 0.843142169212487 0.69598795795628 0.426327036866013 0.752266946350855 0.566628117363974 0.896574901598911 0.494109420817534 0.581424743414733 0.691014580313877 0.638685439758276
