"Abu-Hayyan_1" "al-Baghawi_1" "al-Baydawi_1" "al-Khazin_1" "al-Mawardi_1" "al-Nasafi_1" "al-Qurtubi_1" "al-Razi_1" "al-Suyuti_1" "al-Tabari_1" "al-Zamakhshari_1" "Fairuzabadi_1" "Ibn-Abd-al-Salam_1" "Ibn-al-Jawzi_1" "Ibn-Arafa_1" "Ibn-Atiay_1" "Ibn-Kathir_1" "Samarqandi_1"
"من" 2.56666666666667 1.81866666666667 2.28666666666667 2.728 2.04933333333333 2.504 1.996 2.004 1.59866666666667 2.08133333333333 2.49733333333333 2.53866666666667 2.384 1.84933333333333 1.67333333333333 2.32133333333333 1.94666666666667 1.91866666666667
"في" 2.404 1.552 1.80133333333333 2.11866666666667 1.748 1.90933333333333 2.15066666666667 2.27733333333333 1.35866666666667 0.984 2.07333333333333 2.004 1.85733333333333 1.96266666666667 2.104 2.79466666666667 1.556 1.81333333333333
"الله" 1.136 2.23066666666667 0.834666666666667 2.492 1.34933333333333 1.22133333333333 1.73733333333333 1.232 0.657333333333333 1.73466666666667 1.47466666666667 1.49866666666667 1.38266666666667 1.24 0.673333333333333 1.52933333333333 2.81066666666667 1.812
"قال" 0.665333333333333 1.512 0.121333333333333 1.05466666666667 0.781333333333333 0.3 1.496 0.870666666666667 0.162666666666667 5.40133333333333 0.429333333333333 0.092 0.28 1.568 1.50666666666667 0.952 2.148 1.57866666666667
"على" 1.88266666666667 0.904 1.67333333333333 1.164 0.944 1.34933333333333 1.204 1.63466666666667 0.681333333333333 0.322666666666667 1.58533333333333 0.817333333333333 0.914666666666667 1.05333333333333 1.484 1.49333333333333 0.694666666666667 0.810666666666667
"أن" 1.14133333333333 0.648 0.821333333333333 1.05066666666667 1.16933333333333 0.856 0.937333333333333 2.128 0.245333333333333 0.666666666666667 1.02133333333333 0.298666666666667 0.474666666666667 0.988 1.02266666666667 1.36266666666667 0.705333333333333 0.661333333333333
"عن" 0.522666666666667 0.94 0.477333333333333 0.693333333333333 0.530666666666667 0.464 0.74 0.592 0.352 3.4 0.457333333333333 0.433333333333333 0.465333333333333 0.853333333333333 0.42 0.605333333333333 2.28266666666667 0.742666666666667
"أو" 0.62 0.138666666666667 1.99466666666667 0.228 0.146666666666667 1.05866666666667 0.241333333333333 0.268 0.381333333333333 0.161333333333333 0.76 0.169333333333333 6.412 0.136 0.541333333333333 0.321333333333333 0.165333333333333 0.113333333333333
"أي" 0.846666666666667 0.964 0.730666666666667 1.33733333333333 0.386666666666667 1.488 1.14266666666667 0.330666666666667 2.15333333333333 0.0613333333333333 0.581333333333333 0.0866666666666667 0.156 1.12933333333333 0.293333333333333 0.445333333333333 0.850666666666667 0.824
"لا" 0.976 0.589333333333333 0.712 0.821333333333333 0.570666666666667 0.796 0.712 1.06266666666667 0.476 0.509333333333333 0.837333333333333 0.697333333333333 0.768 0.689333333333333 0.872 0.677333333333333 0.568 0.698666666666667
"ما" 0.905333333333333 0.637333333333333 0.874666666666667 0.924 0.778666666666667 0.782666666666667 0.74 0.754666666666667 0.493333333333333 0.730666666666667 0.832 0.586666666666667 0.752 0.741333333333333 0.477333333333333 0.701333333333333 0.565333333333333 0.582666666666667
"عليه" 0.544 0.822666666666667 0.656 0.913333333333333 0.545333333333333 0.616 0.850666666666667 0.668 0.437333333333333 0.482666666666667 0.733333333333333 0.561333333333333 0.812 0.526666666666667 0.496 0.668 1.04133333333333 0.692
"تعالى" 0.349333333333333 0.290666666666667 0.306666666666667 0.658666666666667 0.541333333333333 0.157333333333333 0.706666666666667 1.16133333333333 0.233333333333333 0.166666666666667 0.241333333333333 0.064 0.612 1.41333333333333 0.922666666666667 0.790666666666667 0.838666666666667 0.836
"ابن" 0.585333333333333 0.534666666666667 0.137333333333333 0.346666666666667 1.14133333333333 0.102666666666667 0.369333333333333 0.116 0.04 1.392 0.194666666666667 0.088 0.173333333333333 1.33333333333333 1.29866666666667 0.613333333333333 1.04933333333333 0.270666666666667
"إلى" 0.694666666666667 0.549333333333333 0.717333333333333 0.733333333333333 0.497333333333333 0.634666666666667 0.541333333333333 0.702666666666667 0.352 0.209333333333333 0.566666666666667 0.565333333333333 0.601333333333333 0.293333333333333 0.381333333333333 0.629333333333333 0.5 0.518666666666667
"بن" 0.342666666666667 1.49066666666667 0.0733333333333333 0.372 0.664 0.0813333333333333 0.674666666666667 0.0733333333333333 0.0586666666666667 1.61733333333333 0.152 0.308 0.233333333333333 0.445333333333333 0.084 0.536 2.00933333333333 0.346666666666667
"قوله" 0.345333333333333 0.344 0.148 0.5 0.730666666666667 0.170666666666667 0.537333333333333 0.746666666666667 0.0133333333333333 0.78 0.358666666666667 0.0906666666666667 0.0613333333333333 1.32133333333333 0.802666666666667 0.434666666666667 0.182666666666667 0.565333333333333
"ذلك" 0.564 0.249333333333333 0.309333333333333 0.52 0.221333333333333 0.285333333333333 0.428 0.641333333333333 0.276 1.16933333333333 0.376 0.292 0.201333333333333 0.257333333333333 0.428 0.574666666666667 0.406666666666667 0.26
"يعني" 0.0506666666666667 0.521333333333333 0.108 1.17866666666667 0.454666666666667 0.12 0.101333333333333 0.0653333333333333 0.00933333333333333 0.12 0.150666666666667 0.628 0.0346666666666667 0.232 0.00533333333333333 0.024 0.178666666666667 3.39333333333333
"به" 0.42 0.298666666666667 0.613333333333333 0.42 0.326666666666667 0.418666666666667 0.310666666666667 0.256 0.392 0.393333333333333 0.545333333333333 0.242666666666667 0.412 0.354666666666667 0.338666666666667 0.324 0.368 0.254666666666667
"وقال" 0.802666666666667 0.712 0.028 0.28 0.168 0.0626666666666667 0.742666666666667 0.204 0.024 0.217333333333333 0.068 0.032 0.08 0.512 0.170666666666667 0.805333333333333 0.777333333333333 0.624
"وسلم" 0.156 0.602666666666667 0.170666666666667 0.612 0.332 0.145333333333333 0.492 0.153333333333333 0.204 0.409333333333333 0.324 0.309333333333333 0.422666666666667 0.268 0.108 0.309333333333333 0.752 0.390666666666667
"كان" 0.473333333333333 0.317333333333333 0.246666666666667 0.46 0.341333333333333 0.296 0.389333333333333 0.628 0.096 0.394666666666667 0.364 0.158666666666667 0.298666666666667 0.301333333333333 0.381333333333333 0.370666666666667 0.334666666666667 0.308
"صلى" 0.2 0.513333333333333 0.198666666666667 0.602666666666667 0.313333333333333 0.169333333333333 0.449333333333333 0.157333333333333 0.205333333333333 0.369333333333333 0.313333333333333 0.3 0.486666666666667 0.257333333333333 0.121333333333333 0.313333333333333 0.717333333333333 0.421333333333333
"وهو" 0.48 0.250666666666667 0.476 0.378666666666667 0.376 0.524 0.344 0.385333333333333 0.234666666666667 0.110666666666667 0.372 0.24 0.182666666666667 0.32 0.333333333333333 0.258666666666667 0.262666666666667 0.248
"ولا" 0.477333333333333 0.286666666666667 0.264 0.456 0.265333333333333 0.353333333333333 0.389333333333333 0.306666666666667 0.149333333333333 0.236 0.392 0.332 0.292 0.292 0.254666666666667 0.349333333333333 0.344 0.316
"ثم" 0.276 0.382666666666667 0.18 0.417333333333333 0.209333333333333 0.225333333333333 0.292 0.466666666666667 0.056 0.214666666666667 0.305333333333333 0.169333333333333 0.185333333333333 0.326666666666667 0.156 0.432 0.488 0.906666666666667
"هذا" 0.426666666666667 0.270666666666667 0.126666666666667 0.312 0.224 0.169333333333333 0.470666666666667 0.641333333333333 0.0706666666666667 0.216 0.196 0.114666666666667 0.0826666666666667 0.561333333333333 0.438666666666667 0.629333333333333 0.346666666666667 0.226666666666667
"أنه" 0.336 0.149333333333333 0.238666666666667 0.284 0.96 0.221333333333333 0.257333333333333 0.706666666666667 0.0546666666666667 0.189333333333333 0.266666666666667 0.032 0.0786666666666667 0.633333333333333 0.288 0.284 0.238666666666667 0.276
"هو" 0.516 0.226666666666667 0.189333333333333 0.4 0.242666666666667 0.370666666666667 0.298666666666667 0.4 0.197333333333333 0.201333333333333 0.396 0.0946666666666667 0.124 0.213333333333333 0.389333333333333 0.552 0.205333333333333 0.192
"فيه" 0.257333333333333 0.168 0.316 0.288 1.12933333333333 0.226666666666667 0.248 0.276 0.248 0.0653333333333333 0.292 0.109333333333333 0.248 0.362666666666667 0.317333333333333 0.216 0.204 0.137333333333333
"له" 0.262666666666667 0.26 0.297333333333333 0.356 0.22 0.264 0.286666666666667 0.273333333333333 0.244 0.242666666666667 0.384 0.157333333333333 0.228 0.273333333333333 0.308 0.249333333333333 0.354666666666667 0.262666666666667
"إذا" 0.266666666666667 0.269333333333333 0.222666666666667 0.245333333333333 0.270666666666667 0.322666666666667 0.350666666666667 0.342666666666667 0.1 0.217333333333333 0.348 0.132 0.224 0.224 0.258666666666667 0.22 0.181333333333333 0.264
"قاله" 0.101333333333333 0.0173333333333333 0.008 0.00933333333333333 2.60133333333333 0.012 0.150666666666667 0.016 0.00533333333333333 0.0146666666666667 0.00533333333333333 0 0.24 1.1 0.0213333333333333 0.0826666666666667 0.0546666666666667 0.00133333333333333
"الذي" 0.304 0.178666666666667 0.201333333333333 0.328 0.262666666666667 0.213333333333333 0.209333333333333 0.213333333333333 0.113333333333333 0.486666666666667 0.270666666666667 0.150666666666667 0.197333333333333 0.238666666666667 0.164 0.36 0.257333333333333 0.245333333333333
"فقال" 0.125333333333333 0.404 0.101333333333333 0.338666666666667 0.158666666666667 0.137333333333333 0.329333333333333 0.194666666666667 0.0346666666666667 0.304 0.185333333333333 0.157333333333333 0.145333333333333 0.265333333333333 0.242666666666667 0.234666666666667 0.433333333333333 0.416
"لم" 0.281333333333333 0.208 0.22 0.285333333333333 0.184 0.208 0.269333333333333 0.357333333333333 0.145333333333333 0.0733333333333333 0.308 0.22 0.225333333333333 0.197333333333333 0.318666666666667 0.232 0.156 0.258666666666667
